"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]","Average temperature [°C]"
"Enontekiö Kilpisjärvi","2004","3","8","02:00","67","-3.2"
"Enontekiö Kilpisjärvi","2004","3","9","02:00","66","2.5"
"Enontekiö Kilpisjärvi","2004","3","10","02:00","62","2.8"
"Enontekiö Kilpisjärvi","2004","3","11","02:00","60","-0.3"
"Enontekiö Kilpisjärvi","2004","3","12","02:00","60","-1.5"
"Enontekiö Kilpisjärvi","2004","3","13","02:00","60","-6.4"
"Enontekiö Kilpisjärvi","2004","3","14","02:00","60","-5.3"
"Enontekiö Kilpisjärvi","2004","3","15","02:00","61","-5.6"
"Enontekiö Kilpisjärvi","2004","3","16","02:00","61","-4.3"
"Enontekiö Kilpisjärvi","2004","3","17","02:00","60","-4.3"
"Enontekiö Kilpisjärvi","2004","3","18","02:00","60","-3.1"
"Enontekiö Kilpisjärvi","2004","3","19","02:00","61","-2.1"
"Enontekiö Kilpisjärvi","2004","3","20","02:00","60","-2.2"
"Enontekiö Kilpisjärvi","2004","3","21","02:00","60","-3.3"
"Enontekiö Kilpisjärvi","2004","3","22","02:00","60","-9.4"
"Enontekiö Kilpisjärvi","2004","3","23","02:00","59","-7.5"
"Enontekiö Kilpisjärvi","2004","3","24","02:00","60","-9.3"
"Enontekiö Kilpisjärvi","2004","3","25","02:00","61","-11.6"
"Enontekiö Kilpisjärvi","2004","3","26","02:00","61","-8.8"
"Enontekiö Kilpisjärvi","2004","3","27","02:00","63","-7.9"
"Enontekiö Kilpisjärvi","2004","3","28","02:00","67","-3.8"
"Enontekiö Kilpisjärvi","2004","3","29","03:00","68","-6.3"
"Enontekiö Kilpisjärvi","2004","3","30","03:00","67","-3.6"
"Enontekiö Kilpisjärvi","2004","3","31","03:00","66","-7.4"
"Enontekiö Kilpisjärvi","2004","4","1","03:00","67","-11.9"
"Enontekiö Kilpisjärvi","2004","4","2","03:00","66","-8.1"
"Enontekiö Kilpisjärvi","2004","4","3","03:00","65","-3.8"
"Enontekiö Kilpisjärvi","2004","4","4","03:00","65","-2.9"
"Enontekiö Kilpisjärvi","2004","4","5","03:00","65","-1.9"
"Enontekiö Kilpisjärvi","2004","4","6","03:00","64","-0.7"
"Enontekiö Kilpisjärvi","2004","4","7","03:00","63","-6.1"
"Enontekiö Kilpisjärvi","2004","4","8","03:00","63","-1.6"
"Enontekiö Kilpisjärvi","2004","4","9","03:00","63","-1.9"
"Enontekiö Kilpisjärvi","2004","4","10","03:00","63","-8.5"
"Enontekiö Kilpisjärvi","2004","4","11","03:00","62","-3.5"
"Enontekiö Kilpisjärvi","2004","4","12","03:00","62","-1.7"
"Enontekiö Kilpisjärvi","2004","4","13","03:00","62","-4.5"
"Enontekiö Kilpisjärvi","2004","4","14","03:00","65","-0.4"
"Enontekiö Kilpisjärvi","2004","4","15","03:00","63","-0.7"
"Enontekiö Kilpisjärvi","2004","4","16","03:00","60","0.7"
"Enontekiö Kilpisjärvi","2004","4","17","03:00","58","2.5"
"Enontekiö Kilpisjärvi","2004","4","18","03:00","56","2"
"Enontekiö Kilpisjärvi","2004","4","19","03:00","54","2.4"
"Enontekiö Kilpisjärvi","2004","4","20","03:00","52","-1.3"
"Enontekiö Kilpisjärvi","2004","4","21","03:00","52","-3.2"
"Enontekiö Kilpisjärvi","2004","4","22","03:00","52","-2"
"Enontekiö Kilpisjärvi","2004","4","23","03:00","52","-3.3"
"Enontekiö Kilpisjärvi","2004","4","24","03:00","51","-2"
"Enontekiö Kilpisjärvi","2004","4","25","03:00","51","-1.7"
"Enontekiö Kilpisjärvi","2004","4","26","03:00","51","-1.5"
"Enontekiö Kilpisjärvi","2004","4","27","03:00","50","-0.5"
"Enontekiö Kilpisjärvi","2004","4","28","03:00","48","0.3"
"Enontekiö Kilpisjärvi","2004","4","29","03:00","47","1.6"
"Enontekiö Kilpisjärvi","2004","4","30","03:00","42","1.1"
"Enontekiö Kilpisjärvi","2004","5","1","03:00","40","0.2"
"Enontekiö Kilpisjärvi","2004","5","2","03:00","35","1.8"
"Enontekiö Kilpisjärvi","2004","5","3","03:00","35","5"
"Enontekiö Kilpisjärvi","2004","5","4","03:00","28","4.5"
"Enontekiö Kilpisjärvi","2004","5","5","03:00","20","6.2"
"Enontekiö Kilpisjärvi","2004","5","6","03:00","14","6.3"
"Enontekiö Kilpisjärvi","2004","5","7","03:00","10","6.7"
"Enontekiö Kilpisjärvi","2004","5","8","03:00","5","7.7"
"Enontekiö Kilpisjärvi","2004","5","9","03:00","5","1.8"
"Enontekiö Kilpisjärvi","2004","5","10","03:00","4","-0.8"
"Enontekiö Kilpisjärvi","2004","5","11","03:00","8","-1.8"
"Enontekiö Kilpisjärvi","2004","5","12","03:00","7","-2.8"
"Enontekiö Kilpisjärvi","2004","5","13","03:00","6","-0.3"
"Enontekiö Kilpisjärvi","2004","5","14","03:00","5","-1.2"
"Enontekiö Kilpisjärvi","2004","5","15","03:00","7","-0.9"
"Enontekiö Kilpisjärvi","2004","5","16","03:00","5","-0.4"
"Enontekiö Kilpisjärvi","2004","5","17","03:00","4","-0.1"
"Enontekiö Kilpisjärvi","2004","5","18","03:00","3","3.8"
"Enontekiö Kilpisjärvi","2004","5","19","03:00","1","4.7"
"Enontekiö Kilpisjärvi","2004","5","20","03:00","0","3.5"
"Enontekiö Kilpisjärvi","2004","5","21","03:00","0","2.7"
"Enontekiö Kilpisjärvi","2004","5","22","03:00","0","2.8"
"Enontekiö Kilpisjärvi","2004","5","23","03:00","0","2.2"
"Enontekiö Kilpisjärvi","2004","5","24","03:00","0","3.3"
"Enontekiö Kilpisjärvi","2004","5","25","03:00","0","3.1"
"Enontekiö Kilpisjärvi","2004","5","26","03:00","0","4.5"
"Enontekiö Kilpisjärvi","2004","5","27","03:00","0","4.4"
"Enontekiö Kilpisjärvi","2004","5","28","03:00","0","4"
"Enontekiö Kilpisjärvi","2004","5","29","03:00","0","5.1"
"Enontekiö Kilpisjärvi","2004","5","30","03:00","0","4.5"
"Enontekiö Kilpisjärvi","2004","5","31","03:00","0","4.9"
"Enontekiö Kilpisjärvi","2004","6","1","03:00","0","3.3"
"Enontekiö Kilpisjärvi","2004","6","2","03:00","0","5.2"
"Enontekiö Kilpisjärvi","2004","6","3","03:00","0","4.9"
"Enontekiö Kilpisjärvi","2004","6","4","03:00","0","5.3"
"Enontekiö Kilpisjärvi","2004","6","5","03:00","-1","4.7"
"Enontekiö Kilpisjärvi","2004","6","6","03:00","-1","0.9"
"Enontekiö Kilpisjärvi","2004","6","7","03:00","-1","2.1"
"Enontekiö Kilpisjärvi","2004","6","8","03:00","-1","2.3"
"Enontekiö Kilpisjärvi","2004","6","9","03:00","-1","3.8"
"Enontekiö Kilpisjärvi","2004","6","10","03:00","-1","5.8"
"Enontekiö Kilpisjärvi","2004","6","11","03:00","-1","8.1"
"Enontekiö Kilpisjärvi","2004","6","12","03:00","-1","7.3"
"Enontekiö Kilpisjärvi","2004","6","13","03:00","-1","5.8"
"Enontekiö Kilpisjärvi","2004","6","14","03:00","-1","7.4"
"Enontekiö Kilpisjärvi","2004","6","15","03:00","-1","6.2"
"Enontekiö Kilpisjärvi","2004","6","16","03:00","-1","2"
"Enontekiö Kilpisjärvi","2004","6","17","03:00","-1","4.2"
"Enontekiö Kilpisjärvi","2004","6","18","03:00","-1","6"
"Enontekiö Kilpisjärvi","2004","6","19","03:00","-1","9.2"
"Enontekiö Kilpisjärvi","2004","6","20","03:00","-1","9"
"Enontekiö Kilpisjärvi","2004","6","21","03:00","-1","10"
"Enontekiö Kilpisjärvi","2004","6","22","03:00","-1","11.3"
"Enontekiö Kilpisjärvi","2004","6","23","03:00","-1","9.1"
"Enontekiö Kilpisjärvi","2004","6","24","03:00","-1","11.7"
"Enontekiö Kilpisjärvi","2004","6","25","03:00","-1","12.6"
"Enontekiö Kilpisjärvi","2004","6","26","03:00","-1","12.4"
"Enontekiö Kilpisjärvi","2004","6","27","03:00","-1","8.2"
"Enontekiö Kilpisjärvi","2004","6","28","03:00","-1","7.8"
"Enontekiö Kilpisjärvi","2004","6","29","03:00","-1","6.6"
"Enontekiö Kilpisjärvi","2004","6","30","03:00","-1","8.1"
"Enontekiö Kilpisjärvi","2004","7","1","03:00","-1","17"
"Enontekiö Kilpisjärvi","2004","7","2","03:00","-1","13.9"
"Enontekiö Kilpisjärvi","2004","7","3","03:00","-1","13.9"
"Enontekiö Kilpisjärvi","2004","7","4","03:00","-1","12.1"
"Enontekiö Kilpisjärvi","2004","7","5","03:00","-1","13.3"
"Enontekiö Kilpisjärvi","2004","7","6","03:00","-1","13.3"
"Enontekiö Kilpisjärvi","2004","7","7","03:00","-1","13"
"Enontekiö Kilpisjärvi","2004","7","8","03:00","-1","12.8"
"Enontekiö Kilpisjärvi","2004","7","9","03:00","-1","11.6"
"Enontekiö Kilpisjärvi","2004","7","10","03:00","-1","10.3"
"Enontekiö Kilpisjärvi","2004","7","11","03:00","-1","10"
"Enontekiö Kilpisjärvi","2004","7","12","03:00","-1","12.4"
"Enontekiö Kilpisjärvi","2004","7","13","03:00","-1","12.3"
"Enontekiö Kilpisjärvi","2004","7","14","03:00","-1","12.2"
"Enontekiö Kilpisjärvi","2004","7","15","03:00","-1","11.8"
"Enontekiö Kilpisjärvi","2004","7","16","03:00","-1","11.6"
"Enontekiö Kilpisjärvi","2004","7","17","03:00","-1","12.2"
"Enontekiö Kilpisjärvi","2004","7","18","03:00","-1","12.6"
"Enontekiö Kilpisjärvi","2004","7","19","03:00","-1","14.5"
"Enontekiö Kilpisjärvi","2004","7","20","03:00","-1","12.9"
"Enontekiö Kilpisjärvi","2004","7","21","03:00","-1","9.1"
"Enontekiö Kilpisjärvi","2004","7","22","03:00","-1","12.8"
"Enontekiö Kilpisjärvi","2004","7","23","03:00","-1","15.5"
"Enontekiö Kilpisjärvi","2004","7","24","03:00","-1","15.1"
"Enontekiö Kilpisjärvi","2004","7","25","03:00","-1","14.5"
"Enontekiö Kilpisjärvi","2004","7","26","03:00","-1","14.9"
"Enontekiö Kilpisjärvi","2004","7","27","03:00","-1","14.2"
"Enontekiö Kilpisjärvi","2004","7","28","03:00","-1","13"
"Enontekiö Kilpisjärvi","2004","7","29","03:00","-1","12"
"Enontekiö Kilpisjärvi","2004","7","30","03:00","-1","16.3"
"Enontekiö Kilpisjärvi","2004","7","31","03:00","-1","16.9"
"Enontekiö Kilpisjärvi","2004","8","1","03:00","-1","18.1"
"Enontekiö Kilpisjärvi","2004","8","2","03:00","-1","16.7"
"Enontekiö Kilpisjärvi","2004","8","3","03:00","-1","15.8"
"Enontekiö Kilpisjärvi","2004","8","4","03:00","-1","17.3"
"Enontekiö Kilpisjärvi","2004","8","5","03:00","-1","18.2"
"Enontekiö Kilpisjärvi","2004","8","6","03:00","-1","18.2"
"Enontekiö Kilpisjärvi","2004","8","7","03:00","-1","15.6"
"Enontekiö Kilpisjärvi","2004","8","8","03:00","-1","13.6"
"Enontekiö Kilpisjärvi","2004","8","9","03:00","-1","13.2"
"Enontekiö Kilpisjärvi","2004","8","10","03:00","-1","11.7"
"Enontekiö Kilpisjärvi","2004","8","11","03:00","-1","8.5"
"Enontekiö Kilpisjärvi","2004","8","12","03:00","-1","7"
"Enontekiö Kilpisjärvi","2004","8","13","03:00","-1","5.8"
"Enontekiö Kilpisjärvi","2004","8","14","03:00","-1","6.5"
"Enontekiö Kilpisjärvi","2004","8","15","03:00","-1","6.3"
"Enontekiö Kilpisjärvi","2004","8","16","03:00","-1","7.6"
"Enontekiö Kilpisjärvi","2004","8","17","03:00","-1","7.9"
"Enontekiö Kilpisjärvi","2004","8","18","03:00","-1","7.7"
"Enontekiö Kilpisjärvi","2004","8","19","03:00","-1","8.3"
"Enontekiö Kilpisjärvi","2004","8","20","03:00","-1","7.7"
"Enontekiö Kilpisjärvi","2004","8","21","03:00","-1","9.8"
"Enontekiö Kilpisjärvi","2004","8","22","03:00","-1","6.8"
"Enontekiö Kilpisjärvi","2004","8","23","03:00","-1","5.1"
"Enontekiö Kilpisjärvi","2004","8","24","03:00","-1","5.9"
"Enontekiö Kilpisjärvi","2004","8","25","03:00","-1","7"
"Enontekiö Kilpisjärvi","2004","8","26","03:00","-1","7.4"
"Enontekiö Kilpisjärvi","2004","8","27","03:00","-1","7.8"
"Enontekiö Kilpisjärvi","2004","8","28","03:00","-1","8.2"
"Enontekiö Kilpisjärvi","2004","8","29","03:00","-1","11.1"
"Enontekiö Kilpisjärvi","2004","8","30","03:00","-1","10.4"
"Enontekiö Kilpisjärvi","2004","8","31","03:00","-1","10"
"Enontekiö Kilpisjärvi","2004","9","1","03:00","-1","10.4"
