Date,Average temperature [°C],Snow depth [cm],Cloud cover [1/8],Direct solar radiation mean [W/m2]
2004-03-08,-9.7,57,,8.5
2004-03-09,-6.3,57,,285.8
2004-03-10,-2.0,57,,296.6
2004-03-11,-1.4,57,,231.2
2004-03-12,-7.2,57,,290.9
2004-03-13,-5.2,55,,266.5
2004-03-14,-7.8,55,,12.5
2004-03-15,0.3,55,,5.7
2004-03-16,0.5,57,,6.1
2004-03-17,-2.2,55,,221.3
2004-03-18,-2.7,55,,41.8
2004-03-19,-1.0,55,,274.6
2004-03-20,0.1,55,,5.2
2004-03-21,-3.1,55,,6.8
2004-03-22,-6.7,55,,8.7
2004-03-23,-6.8,55,,16.4
2004-03-24,-7.1,55,,15.1
2004-03-25,-9.4,55,,7.0
2004-03-26,-11.8,55,,21.1
2004-03-27,-8.5,55,,70.4
2004-03-28,-6.1,65,,290.6
2004-03-29,-5.6,65,,217.7
2004-03-30,-5.3,65,,278.1
2004-03-31,-7.0,65,,356.1
2004-04-01,-10.2,65,,391.3
2004-04-02,-8.6,63,,371.5
2004-04-03,-3.9,63,,380.0
2004-04-04,-5.5,63,,368.5
2004-04-05,-2.6,61,,249.4
2004-04-06,-1.3,61,,95.9
2004-04-07,-0.6,60,,254.9
2004-04-08,0.9,57,,383.8
2004-04-09,2.9,54,,360.9
2004-04-10,0.3,51,,102.5
2004-04-11,-2.9,50,,221.0
2004-04-12,-1.4,49,,309.5
2004-04-13,-2.1,49,,384.9
2004-04-14,-0.3,52,,28.3
2004-04-15,1.7,50,,294.0
2004-04-16,1.8,49,,39.8
2004-04-17,4.0,44,,339.0
2004-04-18,3.4,40,,289.3
2004-04-19,1.0,38,,307.3
2004-04-20,-5.2,36,,11.6
2004-04-21,-4.2,48,,130.0
2004-04-22,-5.2,42,,225.7
2004-04-23,-3.1,39,,400.8
2004-04-24,-3.9,39,,329.9
2004-04-25,-1.8,39,,400.4
2004-04-26,3.7,39,,396.3
2004-04-27,3.4,34,,364.6
2004-04-28,4.3,30,,78.8
2004-04-29,4.8,26,,46.6
2004-04-30,4.7,22,,388.2
2004-05-01,3.2,18,,199.9
2004-05-02,2.9,14,,357.8
2004-05-03,8.1,10,,301.1
2004-05-04,9.1,4,,24.5
2004-05-05,10.3,0,,282.9
2004-05-06,11.9,-1,,356.2
2004-05-07,12.6,-1,,336.5
2004-05-08,13.9,-1,,235.9
2004-05-09,5.1,-1,,396.3
2004-05-10,-0.4,-1,,149.7
2004-05-11,-1.5,-1,,226.3
2004-05-12,-0.8,0,,318.6
2004-05-13,0.9,-1,,230.1
2004-05-14,2.0,-1,,141.8
2004-05-15,1.0,-1,,268.4
2004-05-16,0.4,8,,232.3
2004-05-17,3.4,8,,378.8
2004-05-18,4.5,3,,60.4
2004-05-19,7.5,-1,,69.6
2004-05-20,7.4,-1,,321.4
2004-05-21,9.0,-1,,173.5
2004-05-22,5.7,-1,,123.9
2004-05-23,3.8,-1,,364.5
2004-05-24,3.2,-1,,424.5
2004-05-25,3.8,-1,,459.1
2004-05-26,5.5,-1,,435.1
2004-05-27,6.0,-1,,109.9
2004-05-28,5.8,-1,,253.1
2004-05-29,5.6,-1,,165.4
2004-05-30,6.4,-1,,188.4
2004-05-31,7.1,-1,,37.7
2004-06-01,6.3,-1,,321.8
2004-06-02,5.8,-1,,326.5
2004-06-03,9.6,-1,,443.2
2004-06-04,8.1,-1,,328.3
2004-06-05,7.9,-1,,460.4
2004-06-06,5.9,-1,,121.7
2004-06-07,4.3,-1,,129.8
2004-06-08,5.2,-1,,22.4
2004-06-09,6.6,-1,,447.4
2004-06-10,9.5,-1,,311.3
2004-06-11,11.0,-1,,8.6
2004-06-12,12.7,-1,,11.4
2004-06-13,11.6,-1,,265.8
2004-06-14,8.4,-1,,173.2
2004-06-15,8.5,-1,,402
2004-06-16,5.9,-1,,28.4
2004-06-17,7.2,-1,,211
2004-06-18,10.3,-1,,199.9
2004-06-19,12.3,-1,,324.7
2004-06-20,13.6,-1,,361.3
2004-06-21,12.8,-1,,31.1
2004-06-22,14.5,-1,,190
2004-06-23,12.7,-1,,-
2004-06-24,12.0,-1,,-
2004-06-25,12.5,-1,,379
2004-06-26,15.7,-1,,233.4
2004-06-27,17.3,-1,,10.1
2004-06-28,12.3,-1,,10.9
2004-06-29,9.8,-1,,112.7
2004-06-30,17.0,-1,,7.5
2004-07-01,22.6,-1,,44
2004-07-02,18.9,-1,,335.1
2004-07-03,17.0,-1,,6.7
2004-07-04,16.0,-1,,294.1
2004-07-05,17.1,-1,,251
2004-07-06,18.4,-1,,302.9
2004-07-07,17.0,-1,,92.2
2004-07-08,15.8,-1,,495
2004-07-09,13.6,-1,,178.9
2004-07-10,13.4,-1,,108.2
2004-07-11,15.2,-1,,133.2
2004-07-12,15.3,-1,,216.7
2004-07-13,15.2,-1,,160.6
2004-07-14,15.4,-1,,220.7
2004-07-15,14.9,-1,,307.2
2004-07-16,13.6,-1,,385
2004-07-17,14.9,-1,,182.8
2004-07-18,15.2,-1,,397.4
2004-07-19,17.3,-1,,224.3
2004-07-20,18.8,-1,,292.4
2004-07-21,13.3,-1,,163.1
2004-07-22,12.7,-1,,69.8
2004-07-23,14.7,-1,,162.8
2004-07-24,16.4,-1,,209.4
2004-07-25,18.3,-1,,132.6
2004-07-26,19.0,-1,,149.2
2004-07-27,17.6,-1,,112.3
2004-07-28,14.8,-1,,13.5
2004-07-29,14.5,-1,,10.6
2004-07-30,16.6,-1,,29.6
2004-07-31,17.5,-1,,31.9
2004-08-01,16.1,-1,,214.1
2004-08-02,16.5,-1,,176.7
2004-08-03,17.0,-1,,190.4
2004-08-04,16.7,-1,,331.3
2004-08-05,19.5,-1,,348.8
2004-08-06,19.2,-1,,358.7
2004-08-07,17.7,-1,,359.4
2004-08-08,14.5,-1,,216.6
2004-08-09,12.1,-1,,197.8
2004-08-10,13.5,-1,,374.4
2004-08-11,12.1,-1,,149.9
2004-08-12,9.6,-1,,299.4
2004-08-13,7.8,-1,,221.3
2004-08-14,6.2,-1,,244.5
2004-08-15,5.9,-1,,127.6
2004-08-16,8.2,-1,,301
2004-08-17,9.7,-1,,18.5
2004-08-18,8.4,-1,,85.7
2004-08-19,10.0,-1,,90.1
2004-08-20,7.7,-1,,209.3
2004-08-21,12.7,-1,,143.8
2004-08-22,13.2,-1,,146.2
2004-08-23,11.7,-1,,245.5
2004-08-24,7.2,-1,,307.3
2004-08-25,6.7,-1,,272.5
2004-08-26,7.2,-1,,5.4
2004-08-27,7.6,-1,,179.7
2004-08-28,10.1,-1,,135.6
2004-08-29,11.9,-1,,323.6
2004-08-30,12.1,-1,,17.4
2004-08-31,10.8,-1,,43.7
2004-09-01,12.8,-1,,63.1
2004-09-02,13.3,-1,,10.3
2004-09-03,10.9,-1,,36.9
2004-09-04,12.2,-1,,280.3
2004-09-05,13.4,-1,,185.7
2004-09-06,9.2,-1,,80.6
2004-09-07,7.3,-1,,140
2004-09-08,2.5,-1,,262.5
2004-09-09,4.4,-1,,197.3
2004-09-10,9.4,-1,,188.1
2004-09-11,5.3,-1,,272.4
2004-09-12,4.7,-1,,23.1
2004-09-13,4.1,-1,,123.5
2004-09-14,2.3,-1,,117.6
2004-09-15,3.6,-1,,-
2004-09-16,4.1,-1,,-
2004-09-17,2.4,-1,,24.6
2004-09-18,1.3,-1,,6.3
2004-09-19,4.6,-1,,50.4
2004-09-20,7.3,-1,,284.8
2004-09-21,9.2,-1,,22.8
2004-09-22,9.2,-1,,17.8
2004-09-23,8.9,-1,,60.4
2004-09-24,8.1,-1,,75.1
2004-09-25,8.3,-1,,68.7
2004-09-26,7.5,-1,,232.8
2004-09-27,7.2,-1,,6.3
2004-09-28,8.5,-1,,27.4
2004-09-29,6.7,-1,,113.3
2004-09-30,4.0,-1,,129.8
2004-10-01,3.3,-1,,271.5
2004-10-02,2.6,-1,,178.1
2004-10-03,5.6,-1,,5.5
2004-10-04,4.2,-1,,192.3
2004-10-05,6.8,-1,,14.4
2004-10-06,6.5,-1,,8.4
2004-10-07,3.1,-1,,173.9
2004-10-08,-2.8,-1,,63.9
2004-10-09,-2.6,-1,,216.5
2004-10-10,-0.8,-1,,254.7
2004-10-11,-3.1,-1,,130.9
2004-10-12,-0.4,-1,,256.1
2004-10-13,0.7,-1,,-
2004-10-14,1.7,-1,,-
2004-10-15,0.6,-1,,166.4
2004-10-16,0.6,-1,,79.2
2004-10-17,-2.8,-1,,5
2004-10-18,-4.4,-1,,4.4
2004-10-19,0.1,-1,,4.3
2004-10-20,-1.8,-1,,14.3
2004-10-21,-1.3,-1,,4.5
2004-10-22,-0.1,4,,17.8
2004-10-23,0.9,4,,20.7
2004-10-24,1.0,2,,22.2
2004-10-25,-0.6,1,,153.3
2004-10-26,-1.6,1,,5
2004-10-27,0.0,1,,18.9
2004-10-28,-0.7,1,,210
2004-10-29,-7.3,1,,101
2004-10-30,-9.8,1,,19.8
2004-10-31,-3.1,1,,4
2004-11-01,-0.5,5,,173.9
2004-11-02,0.2,5,,163.1
2004-11-03,4.3,3,,38.3
2004-11-04,0.4,-1,,4.2
2004-11-05,0.3,-1,,19.5
2004-11-06,0.4,1,,34.1
2004-11-07,0.2,-1,,4.5
2004-11-08,-0.4,-1,,11.6
2004-11-09,-1.5,-1,,5.9
2004-11-10,3.4,-1,,4
2004-11-11,2.9,-1,,4.2
2004-11-12,1.5,-1,,3.9
2004-11-13,-3.1,-1,,71.7
2004-11-14,-5.8,-1,,113.7
2004-11-15,-3.3,4,,4.1
2004-11-16,-7.2,5,,24.4
2004-11-17,-18.0,5,,9.5
2004-11-18,-18.8,5,,4.4
2004-11-19,-13.5,5,,66.6
2004-11-20,-18.0,5,,7.6
2004-11-21,-20.6,5,,66.7
2004-11-22,-25.5,5,,7.1
2004-11-23,-22.6,5,,4.3
2004-11-24,-16.2,5,,107.3
2004-11-25,-6.6,12,,32.1
2004-11-26,-4.9,17,,33.3
2004-11-27,-14.6,17,,107
2004-11-28,-22.7,17,,27.9
2004-11-29,-19.0,17,,3.9
2004-11-30,-9.5,17,,4
2004-12-01,-6.3,16,,3.9
2004-12-02,-18.8,16,,3.7
2004-12-03,-21.8,16,,39.6
2004-12-04,-7.4,16,,4.6
2004-12-05,-5.8,16,,3.9
2004-12-06,-8.4,16,,4.2
2004-12-07,-7.5,18,,3.9
2004-12-08,-6.3,18,,3.9
2004-12-09,-12.9,18,,61.3
2004-12-10,-5.1,19,,42
2004-12-11,-7.2,21,,3.9
2004-12-12,-22.6,21,,64.4
2004-12-13,-22.4,21,,10.6
2004-12-14,-4.6,21,,3.8
2004-12-15,0.2,20,,3.7
2004-12-16,-6.3,19,,5.1
2004-12-17,-0.3,22,,3.8
2004-12-18,1.0,18,,4.2
2004-12-19,-0.6,18,,3.7
2004-12-20,-5.8,19,,11.9
2004-12-21,-11.4,22,,47.8
2004-12-22,-3.4,22,,3.6
2004-12-23,-4.2,23,,30.9
2004-12-24,-6.5,29,,55.7
2004-12-25,-6.1,30,,4
2004-12-26,-8.4,30,,3.8
2004-12-27,-17.2,34,,85.3
2004-12-28,-8.5,33,,4.7
2004-12-29,-7.1,33,,3.8
2004-12-30,-1.7,32,,3.7
2004-12-31,-1.0,31,,77.2
2004-08-09,12.1,-1,,197.8
2004-08-10,13.5,-1,,374.4
2004-08-11,12.1,-1,,149.9
2004-08-12,9.6,-1,,299.4
2004-08-13,7.8,-1,,221.3
2004-08-14,6.2,-1,,244.5
2004-08-15,5.9,-1,,127.6
2004-08-16,8.2,-1,,301
2004-08-17,9.7,-1,,18.5
2004-08-18,8.4,-1,,85.7
2004-08-19,10.0,-1,,90.1
2004-08-20,7.7,-1,,209.3
2004-08-21,12.7,-1,,143.8
2004-08-22,13.2,-1,,146.2
2004-08-23,11.7,-1,,245.5
2004-08-24,7.2,-1,,307.3
2004-08-25,6.7,-1,,272.5
