Date,Average temperature [°C],Snow depth [cm],Cloud cover [1/8],Direct solar radiation mean [W/m2]
2004-03-08,-0.6,45,,8.5
2004-03-09,-5.6,43,,285.8
2004-03-10,-6.9,43,,296.6
2004-03-11,-3.3,43,,231.2
2004-03-12,-2.9,42,,290.9
2004-03-13,-4.2,41,,266.5
2004-03-14,-4.2,41,,12.5
2004-03-15,0.5,42,,5.7
2004-03-16,2.3,40,,6.1
2004-03-17,0.8,36,,221.3
2004-03-18,1.5,35,,41.8
2004-03-19,1.4,31,,274.6
2004-03-20,0.6,29,,5.2
2004-03-21,1.0,30,,6.8
2004-03-22,0.6,30,,8.7
2004-03-23,-0.5,30,,16.4
2004-03-24,0.9,30,,15.1
2004-03-25,0.1,28,,7.0
2004-03-26,-1.6,31,,21.1
2004-03-27,-1.6,30,,70.4
2004-03-28,2.1,28,,290.6
2004-03-29,1.7,27,,217.7
2004-03-30,3.8,26,,278.1
2004-03-31,2.5,23,,356.1
2004-04-01,-3.5,21,,391.3
2004-04-02,-3.7,21,,371.5
2004-04-03,-0.5,21,,380.0
2004-04-04,0.0,19,,368.5
2004-04-05,1.6,17,,249.4
2004-04-06,1.9,14,,95.9
2004-04-07,3.6,14,,254.9
2004-04-08,3.6,13,,383.8
2004-04-09,3.0,13,,360.9
2004-04-10,1.8,7,,102.5
2004-04-11,1.5,6,,221.0
2004-04-12,2.7,5,,309.5
2004-04-13,2.4,0,,384.9
2004-04-14,2.6,0,,28.3
2004-04-15,7.0,-1,,294.0
2004-04-16,4.2,-1,,39.8
2004-04-17,6.4,-1,,339.0
2004-04-18,7.2,-1,,289.3
2004-04-19,7.8,-1,,307.3
2004-04-20,9.0,-1,,11.6
2004-04-21,8.2,-1,,130.0
2004-04-22,4.7,-1,,225.7
2004-04-23,2.4,-1,,400.8
2004-04-24,4.1,-1,,329.9
2004-04-25,4.7,-1,,400.4
2004-04-26,4.7,-1,,396.3
2004-04-27,5.5,-1,,364.6
2004-04-28,4.6,-1,,78.8
2004-04-29,7.3,-1,,46.6
2004-04-30,8.6,-1,,388.2
2004-05-01,9.4,-1,,199.9
2004-05-02,9.1,-1,,357.8
2004-05-03,12.2,-1,,301.1
2004-05-04,14.1,-1,,24.5
2004-05-05,17.6,-1,,282.9
2004-05-06,18.1,-1,,356.2
2004-05-07,16.4,-1,,336.5
2004-05-08,16.7,-1,,235.9
2004-05-09,16.3,-1,,396.3
2004-05-10,10.9,-1,,149.7
2004-05-11,4.1,-1,,226.3
2004-05-12,3.0,-1,,318.6
2004-05-13,3.3,-1,,230.1
2004-05-14,5.1,-1,,141.8
2004-05-15,5.8,-1,,268.4
2004-05-16,5.8,-1,,232.3
2004-05-17,7.0,-1,,378.8
2004-05-18,7.5,-1,,60.4
2004-05-19,7.6,-1,,69.6
2004-05-20,8.2,-1,,321.4
2004-05-21,6.7,-1,,173.5
2004-05-22,7.0,-1,,123.9
2004-05-23,6.9,-1,,364.5
2004-05-24,6.0,-1,,424.5
2004-05-25,8.9,-1,,459.1
2004-05-26,10.6,-1,,435.1
2004-05-27,11.3,-1,,109.9
2004-05-28,11.1,-1,,253.1
2004-05-29,9.5,-1,,165.4
2004-05-30,6.2,-1,,188.4
2004-05-31,7.6,-1,,37.7
2004-06-01,10.4,-1,,321.8
2004-06-02,12.5,-1,,326.5
2004-06-03,12.7,-1,,443.2
2004-06-04,15.1,-1,,328.3
2004-06-05,15.7,-1,,460.4
2004-06-06,13.9,-1,,121.7
2004-06-07,8.2,-1,,129.8
2004-06-08,9.7,-1,,22.4
2004-06-09,11.3,-1,,447.4
2004-06-10,11.5,-1,,311.3
2004-06-11,10.0,-1,,8.6
2004-06-12,12.2,-1,,11.4
2004-06-13,15.2,-1,,265.8
2004-06-14,12.3,-1,,173.2
2004-06-15,11.5,-1,,402
2004-06-16,10.1,-1,,28.4
2004-06-17,11.6,-1,,211
2004-06-18,11.2,-1,,199.9
2004-06-19,13.0,-1,,324.7
2004-06-20,13.4,-1,,361.3
2004-06-21,11.8,-1,,31.1
2004-06-22,14.5,-1,,190
2004-06-23,12.0,-1,,-
2004-06-24,11.6,-1,,-
2004-06-25,17.2,-1,,379
2004-06-26,14.3,-1,,233.4
2004-06-27,13.9,-1,,10.1
2004-06-28,14.3,-1,,10.9
2004-06-29,15.7,-1,,112.7
2004-06-30,14.0,-1,,7.5
2004-07-01,15.3,-1,,44
2004-07-02,17.3,-1,,335.1
2004-07-03,14.3,-1,,6.7
2004-07-04,15.8,-1,,294.1
2004-07-05,13.6,-1,,251
2004-07-06,13.1,-1,,302.9
2004-07-07,13.7,-1,,92.2
2004-07-08,14.7,-1,,495
2004-07-09,15.1,-1,,178.9
2004-07-10,14.7,-1,,108.2
2004-07-11,16.0,-1,,133.2
2004-07-12,15.6,-1,,216.7
2004-07-13,17.2,-1,,160.6
2004-07-14,15.6,-1,,220.7
2004-07-15,15.6,-1,,307.2
2004-07-16,16.1,-1,,385
2004-07-17,14.8,-1,,182.8
2004-07-18,16.7,-1,,397.4
2004-07-19,17.6,-1,,224.3
2004-07-20,18.2,-1,,292.4
2004-07-21,17.3,-1,,163.1
2004-07-22,19.5,-1,,69.8
2004-07-23,19.6,-1,,162.8
2004-07-24,19.4,-1,,209.4
2004-07-25,18.0,-1,,132.6
2004-07-26,17.9,-1,,149.2
2004-07-27,18.1,-1,,112.3
2004-07-28,16.4,-1,,13.5
2004-07-29,16.1,-1,,10.6
2004-07-30,17.2,-1,,29.6
2004-07-31,17.9,-1,,31.9
2004-08-01,18.7,-1,,214.1
2004-08-02,20.0,-1,,176.7
2004-08-03,21.3,-1,,190.4
2004-08-04,20.6,-1,,331.3
2004-08-05,20.4,-1,,348.8
2004-08-06,20.8,-1,,358.7
2004-08-07,21.0,-1,,359.4
2004-08-08,21.0,-1,,216.6
2004-08-09,17.9,-1,,197.8
2004-08-10,17.6,-1,,374.4
