Observation station,Year,Month,Day,Time [Local time],Average temperature [°C],Date,Snow depth [cm]
Hämeenlinna Katinen,2004,3,8,02:00,-0.2,2004-03-08,43
Hämeenlinna Katinen,2004,3,9,02:00,-4.9,2004-03-09,44
Hämeenlinna Katinen,2004,3,10,02:00,-6.3,2004-03-10,43
Hämeenlinna Katinen,2004,3,11,02:00,-4.9,2004-03-11,41
Hämeenlinna Katinen,2004,3,12,02:00,-4.4,2004-03-12,41
Hämeenlinna Katinen,2004,3,13,02:00,-3.2,2004-03-13,41
Hämeenlinna Katinen,2004,3,14,02:00,-2.3,2004-03-14,41
Hämeenlinna Katinen,2004,3,15,02:00,0.4,2004-03-15,40
Hämeenlinna Katinen,2004,3,16,02:00,2.3,2004-03-16,38
Hämeenlinna Katinen,2004,3,17,02:00,1.6,2004-03-17,38
Hämeenlinna Katinen,2004,3,18,02:00,2,2004-03-18,30
Hämeenlinna Katinen,2004,3,19,02:00,2.4,2004-03-19,29
Hämeenlinna Katinen,2004,3,20,02:00,1.1,2004-03-20,26
Hämeenlinna Katinen,2004,3,21,02:00,0.9,2004-03-21,22
Hämeenlinna Katinen,2004,3,22,02:00,0.4,2004-03-22,22
Hämeenlinna Katinen,2004,3,23,02:00,-0.5,2004-03-23,22
Hämeenlinna Katinen,2004,3,24,02:00,0.6,2004-03-24,20
Hämeenlinna Katinen,2004,3,25,02:00,0,2004-03-25,20
Hämeenlinna Katinen,2004,3,26,02:00,-1.3,2004-03-26,19
Hämeenlinna Katinen,2004,3,27,02:00,-0.9,2004-03-27,19
Hämeenlinna Katinen,2004,3,28,02:00,1.6,2004-03-28,19
Hämeenlinna Katinen,2004,3,29,03:00,1.5,2004-03-29,17
Hämeenlinna Katinen,2004,3,30,03:00,3.7,2004-03-30,14
Hämeenlinna Katinen,2004,3,31,03:00,2.2,2004-03-31,10
Hämeenlinna Katinen,2004,4,1,03:00,-3.3,2004-04-01,10
Hämeenlinna Katinen,2004,4,2,03:00,-2.5,2004-04-02,2
Hämeenlinna Katinen,2004,4,3,03:00,0.7,2004-04-03,0
Hämeenlinna Katinen,2004,4,4,03:00,1.7,2004-04-04,0
Hämeenlinna Katinen,2004,4,5,03:00,2.3,2004-04-05,0
Hämeenlinna Katinen,2004,4,6,03:00,2.9,2004-04-06,0
Hämeenlinna Katinen,2004,4,7,03:00,4.8,2004-04-07,0
Hämeenlinna Katinen,2004,4,8,03:00,4.8,2004-04-08,0
Hämeenlinna Katinen,2004,4,9,03:00,4.3,2004-04-09,-1
Hämeenlinna Katinen,2004,4,10,03:00,2.8,2004-04-10,2
Hämeenlinna Katinen,2004,4,11,03:00,1.6,2004-04-11,-1
Hämeenlinna Katinen,2004,4,12,03:00,1.5,2004-04-12,-1
Hämeenlinna Katinen,2004,4,13,03:00,1.9,2004-04-13,-1
Hämeenlinna Katinen,2004,4,14,03:00,3.6,2004-04-14,-1
Hämeenlinna Katinen,2004,4,15,03:00,7.2,2004-04-15,-1
Hämeenlinna Katinen,2004,4,16,03:00,4.9,2004-04-16,-1
Hämeenlinna Katinen,2004,4,17,03:00,7.9,2004-04-17,-1
Hämeenlinna Katinen,2004,4,18,03:00,9.3,2004-04-18,-1
Hämeenlinna Katinen,2004,4,19,03:00,9.4,2004-04-19,-1
Hämeenlinna Katinen,2004,4,20,03:00,9.4,2004-04-20,-1
Hämeenlinna Katinen,2004,4,21,03:00,8.2,2004-04-21,-1
Hämeenlinna Katinen,2004,4,22,03:00,5.9,2004-04-22,-1
Hämeenlinna Katinen,2004,4,23,03:00,3.7,2004-04-23,-1
Hämeenlinna Katinen,2004,4,24,03:00,4.2,2004-04-24,-1
Hämeenlinna Katinen,2004,4,25,03:00,5,2004-04-25,-1
Hämeenlinna Katinen,2004,4,26,03:00,5.8,2004-04-26,-1
Hämeenlinna Katinen,2004,4,27,03:00,5.4,2004-04-27,-1
Hämeenlinna Katinen,2004,4,28,03:00,5.5,2004-04-28,-1
Hämeenlinna Katinen,2004,4,29,03:00,6.8,2004-04-29,-1
Hämeenlinna Katinen,2004,4,30,03:00,8.8,2004-04-30,-1
Hämeenlinna Katinen,2004,5,1,03:00,10.6,2004-05-01,-1
Hämeenlinna Katinen,2004,5,2,03:00,10.5,2004-05-02,-1
Hämeenlinna Katinen,2004,5,3,03:00,13.1,2004-05-03,-1
Hämeenlinna Katinen,2004,5,4,03:00,13.3,2004-05-04,-1
Hämeenlinna Katinen,2004,5,5,03:00,17.7,2004-05-05,-1
Hämeenlinna Katinen,2004,5,6,03:00,18.8,2004-05-06,-1
Hämeenlinna Katinen,2004,5,7,03:00,16.6,2004-05-07,-1
Hämeenlinna Katinen,2004,5,8,03:00,17.5,2004-05-08,-1
Hämeenlinna Katinen,2004,5,9,03:00,16.9,2004-05-09,-1
Hämeenlinna Katinen,2004,5,10,03:00,10.5,2004-05-10,-1
Hämeenlinna Katinen,2004,5,11,03:00,5,2004-05-11,-1
Hämeenlinna Katinen,2004,5,12,03:00,3.1,2004-05-12,-1
Hämeenlinna Katinen,2004,5,13,03:00,4.3,2004-05-13,-1
Hämeenlinna Katinen,2004,5,14,03:00,4.8,2004-05-14,-1
Hämeenlinna Katinen,2004,5,15,03:00,6.2,2004-05-15,-1
Hämeenlinna Katinen,2004,5,16,03:00,6.5,2004-05-16,-1
Hämeenlinna Katinen,2004,5,17,03:00,7.9,2004-05-17,-1
Hämeenlinna Katinen,2004,5,18,03:00,8.3,2004-05-18,-1
Hämeenlinna Katinen,2004,5,19,03:00,7.5,2004-05-19,-1
Hämeenlinna Katinen,2004,5,20,03:00,7.8,2004-05-20,-1
Hämeenlinna Katinen,2004,5,21,03:00,6.4,2004-05-21,-1
Hämeenlinna Katinen,2004,5,22,03:00,7.4,2004-05-22,-1
Hämeenlinna Katinen,2004,5,23,03:00,6.8,2004-05-23,-1
Hämeenlinna Katinen,2004,5,24,03:00,7.2,2004-05-24,-1
Hämeenlinna Katinen,2004,5,25,03:00,10.4,2004-05-25,-1
Hämeenlinna Katinen,2004,5,26,03:00,10.9,2004-05-26,-1
Hämeenlinna Katinen,2004,5,27,03:00,10.6,2004-05-27,-1
Hämeenlinna Katinen,2004,5,28,03:00,11.7,2004-05-28,-1
Hämeenlinna Katinen,2004,5,29,03:00,9.3,2004-05-29,-1
Hämeenlinna Katinen,2004,5,30,03:00,6.1,2004-05-30,-1
Hämeenlinna Katinen,2004,5,31,03:00,8.6,2004-05-31,-1
Hämeenlinna Katinen,2004,6,1,03:00,11.7,2004-06-01,-1
Hämeenlinna Katinen,2004,6,2,03:00,12.8,2004-06-02,-1
