Observation station,Year,Month,Day,Time [Local time],Average temperature [°C],Snow depth [cm]
Siilinjärvi Kuopio airport,2004,3,8,02:00,-3.2,65
Siilinjärvi Kuopio airport,2004,3,9,02:00,-8.1,64
Siilinjärvi Kuopio airport,2004,3,10,02:00,-5,64
Siilinjärvi Kuopio airport,2004,3,11,02:00,-3.7,63
Siilinjärvi Kuopio airport,2004,3,12,02:00,-5.7,62
Siilinjärvi Kuopio airport,2004,3,13,02:00,-7.2,62
Siilinjärvi Kuopio airport,2004,3,14,02:00,-3.3,62
Siilinjärvi Kuopio airport,2004,3,15,02:00,0.5,61
Siilinjärvi Kuopio airport,2004,3,16,02:00,1.5,60
Siilinjärvi Kuopio airport,2004,3,17,02:00,1.4,57
Siilinjärvi Kuopio airport,2004,3,18,02:00,0.6,55
Siilinjärvi Kuopio airport,2004,3,19,02:00,0.8,52
Siilinjärvi Kuopio airport,2004,3,20,02:00,1.2,50
Siilinjärvi Kuopio airport,2004,3,21,02:00,0.3,47
Siilinjärvi Kuopio airport,2004,3,22,02:00,-1,46
Siilinjärvi Kuopio airport,2004,3,23,02:00,-1,48
Siilinjärvi Kuopio airport,2004,3,24,02:00,-1.3,49
Siilinjärvi Kuopio airport,2004,3,25,02:00,-1.3,48
Siilinjärvi Kuopio airport,2004,3,26,02:00,-2.7,47
Siilinjärvi Kuopio airport,2004,3,27,02:00,-2.4,47
Siilinjärvi Kuopio airport,2004,3,28,02:00,0.4,48
Siilinjärvi Kuopio airport,2004,3,29,03:00,0.6,46
Siilinjärvi Kuopio airport,2004,3,30,03:00,1.4,46
Siilinjärvi Kuopio airport,2004,3,31,03:00,-1.8,44
Siilinjärvi Kuopio airport,2004,4,1,03:00,-5.7,43
Siilinjärvi Kuopio airport,2004,4,2,03:00,-4.3,43
Siilinjärvi Kuopio airport,2004,4,3,03:00,0.5,43
Siilinjärvi Kuopio airport,2004,4,4,03:00,0.6,43
Siilinjärvi Kuopio airport,2004,4,5,03:00,0.6,42
Siilinjärvi Kuopio airport,2004,4,6,03:00,1.8,41
Siilinjärvi Kuopio airport,2004,4,7,03:00,2,40
Siilinjärvi Kuopio airport,2004,4,8,03:00,2.8,39
Siilinjärvi Kuopio airport,2004,4,9,03:00,3.4,39
Siilinjärvi Kuopio airport,2004,4,10,03:00,1.7,37
Siilinjärvi Kuopio airport,2004,4,11,03:00,1.5,34
Siilinjärvi Kuopio airport,2004,4,12,03:00,1.8,33
Siilinjärvi Kuopio airport,2004,4,13,03:00,2.2,33
Siilinjärvi Kuopio airport,2004,4,14,03:00,1.6,32
Siilinjärvi Kuopio airport,2004,4,15,03:00,2.7,31
Siilinjärvi Kuopio airport,2004,4,16,03:00,4.1,29
Siilinjärvi Kuopio airport,2004,4,17,03:00,7.6,26
Siilinjärvi Kuopio airport,2004,4,18,03:00,7.3,23
Siilinjärvi Kuopio airport,2004,4,19,03:00,7.9,20
Siilinjärvi Kuopio airport,2004,4,20,03:00,6.5,13
Siilinjärvi Kuopio airport,2004,4,21,03:00,2.9,7
Siilinjärvi Kuopio airport,2004,4,22,03:00,0.8,0
Siilinjärvi Kuopio airport,2004,4,23,03:00,0.2,0
Siilinjärvi Kuopio airport,2004,4,24,03:00,2,0
Siilinjärvi Kuopio airport,2004,4,25,03:00,2.8,0
Siilinjärvi Kuopio airport,2004,4,26,03:00,4.8,0
Siilinjärvi Kuopio airport,2004,4,27,03:00,5.5,-1
Siilinjärvi Kuopio airport,2004,4,28,03:00,4.7,-1
Siilinjärvi Kuopio airport,2004,4,29,03:00,6,-1
Siilinjärvi Kuopio airport,2004,4,30,03:00,7,-1
Siilinjärvi Kuopio airport,2004,5,1,03:00,8.5,-1
Siilinjärvi Kuopio airport,2004,5,2,03:00,9.3,-1
Siilinjärvi Kuopio airport,2004,5,3,03:00,12.8,-1
Siilinjärvi Kuopio airport,2004,5,4,03:00,14.2,-1
Siilinjärvi Kuopio airport,2004,5,5,03:00,12.7,-1
Siilinjärvi Kuopio airport,2004,5,6,03:00,15.4,-1
