Date,Average temperature [°C],Snow depth [cm],Cloud cover [1/8],Direct solar radiation mean [W/m2]
2004-03-08,-3.2,46,8.0,8.5
2004-03-09,-8.1,46,0.0,285.8
2004-03-10,-5,46,0.0,296.6
2004-03-11,-3.7,45,7.0,231.2
2004-03-12,-5.7,45,9.0,290.9
2004-03-13,-7.2,45,9.0,266.5
2004-03-14,-3.3,45,0.0,12.5
2004-03-15,0.5,45,7.0,5.7
2004-03-16,1.5,43,8.0,6.1
2004-03-17,1.4,40,8.0,221.3
2004-03-18,0.6,37,1.0,41.8
2004-03-19,0.8,36,7.0,274.6
2004-03-20,1.2,34,8.0,5.2
2004-03-21,0.3,34,7.0,6.8
2004-03-22,-1,32,5.0,8.7
2004-03-23,-1,36,7.0,16.4
2004-03-24,-1.3,36,7.0,15.1
2004-03-25,-1.3,36,8.0,7.0
2004-03-26,-2.7,34,8.0,21.1
2004-03-27,-2.4,34,3.0,70.4
2004-03-28,0.4,34,5.0,290.6
2004-03-29,0.6,33,0.0,217.7
2004-03-30,1.4,33,1.0,278.1
2004-03-31,-1.8,32,1.0,356.1
2004-04-01,-5.7,31,0.0,391.3
2004-04-02,-4.3,31,0.0,371.5
2004-04-03,0.5,30,0.0,380.0
2004-04-04,0.6,29,0.0,368.5
2004-04-05,0.6,29,0.0,249.4
2004-04-06,1.8,28,0.0,95.9
2004-04-07,2,25,0.0,254.9
2004-04-08,2.8,22,0.0,383.8
2004-04-09,3.4,20,0.0,360.9
2004-04-10,1.7,19,0.0,102.5
2004-04-11,1.5,18,7.0,221.0
2004-04-12,1.8,17,7.0,309.5
2004-04-13,2.2,16,7.0,384.9
2004-04-14,1.6,10,0.0,28.3
2004-04-15,2.7,9,8.0,294.0
2004-04-16,4.1,7,0.0,39.8
2004-04-17,7.6,3,7.0,339.0
2004-04-18,7.3,0,0.0,289.3
2004-04-19,7.9,0,1.0,307.3
2004-04-20,6.5,0,0.0,11.6
2004-04-21,2.9,0,7.0,130.0
2004-04-22,0.8,0,0.0,225.7
2004-04-23,0.2,0,0.0,400.8
2004-04-24,2,0,0.0,329.9
2004-04-25,2.8,0,0.0,400.4
2004-04-26,4.8,0,0.0,396.3
2004-04-27,5.5,-1,3.0,364.6
2004-04-28,4.7,-1,0.0,78.8
2004-04-29,6,-1,1.0,46.6
2004-04-30,7,-1,0.0,388.2
2004-05-01,8.5,-1,5.0,199.9
2004-05-02,9.3,-1,,357.8
2004-05-03,12.8,-1,0.0,301.1
2004-05-04,14.2,-1,0.0,24.5
2004-05-05,12.7,-1,5.0,282.9
2004-05-06,15.4,-1,0.0,356.2
2004-05-07,14.3,-1,1.0,336.5
2004-05-08,16.9,-1,0.0,235.9
2004-05-09,15.5,-1,0.0,396.3
2004-05-10,2.3,-1,7.0,149.7
2004-05-11,1.4,-1,7.0,226.3
2004-05-12,3,-1,0.0,318.6
2004-05-13,3.6,-1,5.0,230.1
