"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Vihti Maasoja","2004","3","8","07:40","Cloudy (8/8)"
"Vihti Maasoja","2004","3","9","07:40","Cloudiness cannot be determined (9/8)"
"Vihti Maasoja","2004","3","10","07:40","Cloudiness cannot be determined (9/8)"
"Vihti Maasoja","2004","3","11","07:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2004","3","12","07:40","Partly cloudy (4/8)"
"Vihti Maasoja","2004","3","13","07:40","Clear (1/8)"
"Vihti Maasoja","2004","3","14","07:40","Partly cloudy (5/8)"
"Vihti Maasoja","2004","3","15","07:40","Cloudiness cannot be determined (9/8)"
"Vihti Maasoja","2004","3","16","07:40","Cloudiness cannot be determined (9/8)"
"Vihti Maasoja","2004","3","17","07:40","Cloudiness cannot be determined (9/8)"
"Vihti Maasoja","2004","3","18","07:40","Cloudiness cannot be determined (9/8)"
"Vihti Maasoja","2004","3","19","07:40","Clear (1/8)"
"Vihti Maasoja","2004","3","20","07:40","Cloudy (8/8)"
"Vihti Maasoja","2004","3","21","07:40","Cloudy (8/8)"
"Vihti Maasoja","2004","3","22","07:40","Cloudy (8/8)"
"Vihti Maasoja","2004","3","23","07:40","Cloudy (8/8)"
"Vihti Maasoja","2004","3","24","07:40","Cloudiness cannot be determined (9/8)"
"Vihti Maasoja","2004","3","25","07:40","Cloudy (8/8)"
"Vihti Maasoja","2004","3","26","07:40","Cloudy (8/8)"
"Vihti Maasoja","2004","3","27","07:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2004","3","28","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2004","3","29","08:40","Partly cloudy (5/8)"
"Vihti Maasoja","2004","3","30","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2004","3","31","08:40","Clear (0/8)"
"Vihti Maasoja","2004","4","1","08:40","Clear (1/8)"
"Vihti Maasoja","2004","4","2","08:40","Clear (0/8)"
"Vihti Maasoja","2004","4","3","08:40","Clear (0/8)"
"Vihti Maasoja","2004","4","4","08:40","Clear (0/8)"
"Vihti Maasoja","2004","4","5","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2004","4","6","08:40","Cloudy (8/8)"
"Vihti Maasoja","2004","4","7","08:40","Partly cloudy (4/8)"
"Vihti Maasoja","2004","4","8","08:40","Clear (1/8)"
"Vihti Maasoja","2004","4","9","08:40","Clear (1/8)"
"Vihti Maasoja","2004","4","10","08:40","Cloudiness cannot be determined (9/8)"
"Vihti Maasoja","2004","4","11","08:40","Clear (1/8)"
"Vihti Maasoja","2004","4","12","08:40","Mostly clear (3/8)"
"Vihti Maasoja","2004","4","13","08:40","Clear (0/8)"
"Vihti Maasoja","2004","4","14","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2004","4","15","08:40","Mostly cloudy (6/8)"
"Vihti Maasoja","2004","4","16","08:40","Mostly cloudy (7/8)"
"Vihti Maasoja","2004","4","17","08:40","Clear (1/8)"
