Date,Average temperature [°C],Snow depth [cm],Cloud cover [1/8],Direct solar radiation mean [W/m2]
2004-03-08,-0.8,34,8.0,8.5
2004-03-09,-5.9,31,7.0,285.8
2004-03-10,-9.3,31,0.0,296.6
2004-03-11,-8.9,31,0.0,231.2
2004-03-12,-7.1,31,0.0,290.9
2004-03-13,-5.8,31,0.0,266.5
2004-03-14,-3.1,31,0.0,12.5
2004-03-15,0.8,30,9.0,5.7
2004-03-16,1.9,25,7.0,6.1
2004-03-17,1.9,20,8.0,221.3
2004-03-18,1.9,19,9.0,41.8
2004-03-19,0.1,18,0.0,274.6
2004-03-20,1.9,18,8.0,5.2
2004-03-21,1.1,18,8.0,6.8
2004-03-22,0.7,15,7.0,8.7
2004-03-23,-0.1,13,7.0,16.4
2004-03-24,-0.5,13,7.0,15.1
2004-03-25,0.7,13,5.0,7.0
2004-03-26,-1.3,14,7.0,21.1
2004-03-27,-2.3,14,,70.4
2004-03-28,1.9,14,8.0,290.6
2004-03-29,-0.3,13,0.0,217.7
2004-03-30,3.8,10,9.0,278.1
2004-03-31,2.6,7,0.0,356.1
2004-04-01,-3.3,5,0.0,391.3
2004-04-02,-3.7,3,0.0,371.5
2004-04-03,-1.3,3,0.0,380.0
2004-04-04,-0.6,3,0.0,368.5
2004-04-05,1.8,2,0.0,249.4
2004-04-06,3.6,1,7.0,95.9
2004-04-07,4.8,0,7.0,254.9
2004-04-08,4.5,0,1.0,383.8
2004-04-09,2.7,0,0.0,360.9
2004-04-10,2.5,1,7.0,102.5
2004-04-11,2.2,0,0.0,221.0
2004-04-12,2.5,1,7.0,309.5
2004-04-13,1.6,-1,0.0,384.9
2004-04-14,2.7,-1,0.0,28.3
2004-04-15,7.3,-1,5.0,294.0
2004-04-16,4.3,-1,7.0,39.8
2004-04-17,6.1,-1,9.0,339.0
2004-04-18,7.5,-1,0.0,289.3
2004-04-19,8.3,-1,0.0,307.3
2004-04-20,8.0,-1,7.0,11.6
2004-04-21,9.6,-1,8.0,130.0
2004-04-22,5.9,-1,8.0,225.7
2004-04-23,2.8,-1,0.0,400.8
2004-04-24,3.6,-1,1.0,329.9
2004-04-25,4.3,-1,7.0,400.4
2004-04-26,3.5,-1,0.0,396.3
2004-04-27,5.0,-1,5.0,364.6
2004-04-28,3.4,-1,7.0,78.8
2004-04-29,5.8,-1,0.0,46.6
2004-04-30,7.5,-1,0.0,388.2
2004-05-01,8.3,-1,7.0,199.9
2004-05-02,8.0,-1,0.0,357.8
2004-05-03,11.2,-1,0.0,301.1
2004-05-04,12.4,-1,8.0,24.5
2004-05-05,17.7,-1,7.0,282.9
