Observation station,Year,Month,Day,Time [Local time],Direct solar radiation mean [W/m2]
Helsinki Kaisaniemi,2004,3,8,00:00,8.5
Helsinki Kaisaniemi,2004,3,9,00:00,285.8
Helsinki Kaisaniemi,2004,3,10,00:00,296.6
Helsinki Kaisaniemi,2004,3,11,00:00,231.2
Helsinki Kaisaniemi,2004,3,12,00:00,290.9
Helsinki Kaisaniemi,2004,3,13,00:00,266.5
Helsinki Kaisaniemi,2004,3,14,00:00,12.5
Helsinki Kaisaniemi,2004,3,15,00:00,5.7
Helsinki Kaisaniemi,2004,3,16,00:00,6.1
Helsinki Kaisaniemi,2004,3,17,00:00,221.3
Helsinki Kaisaniemi,2004,3,18,00:00,41.8
Helsinki Kaisaniemi,2004,3,19,00:00,274.6
Helsinki Kaisaniemi,2004,3,20,00:00,5.2
Helsinki Kaisaniemi,2004,3,21,00:00,6.8
Helsinki Kaisaniemi,2004,3,22,00:00,8.7
Helsinki Kaisaniemi,2004,3,23,00:00,16.4
Helsinki Kaisaniemi,2004,3,24,00:00,15.1
Helsinki Kaisaniemi,2004,3,25,00:00,7.0
Helsinki Kaisaniemi,2004,3,26,00:00,21.1
Helsinki Kaisaniemi,2004,3,27,00:00,70.4
Helsinki Kaisaniemi,2004,3,28,00:00,290.6
Helsinki Kaisaniemi,2004,3,29,00:00,217.7
Helsinki Kaisaniemi,2004,3,30,00:00,278.1
Helsinki Kaisaniemi,2004,3,31,00:00,356.1
Helsinki Kaisaniemi,2004,4,1,00:00,391.3
Helsinki Kaisaniemi,2004,4,2,00:00,371.5
Helsinki Kaisaniemi,2004,4,3,00:00,380.0
Helsinki Kaisaniemi,2004,4,4,00:00,368.5
Helsinki Kaisaniemi,2004,4,5,00:00,249.4
Helsinki Kaisaniemi,2004,4,6,00:00,95.9
Helsinki Kaisaniemi,2004,4,7,00:00,254.9
Helsinki Kaisaniemi,2004,4,8,00:00,383.8
Helsinki Kaisaniemi,2004,4,9,00:00,360.9
Helsinki Kaisaniemi,2004,4,10,00:00,102.5
Helsinki Kaisaniemi,2004,4,11,00:00,221.0
Helsinki Kaisaniemi,2004,4,12,00:00,309.5
Helsinki Kaisaniemi,2004,4,13,00:00,384.9
Helsinki Kaisaniemi,2004,4,14,00:00,28.3
Helsinki Kaisaniemi,2004,4,15,00:00,294.0
Helsinki Kaisaniemi,2004,4,16,00:00,39.8
Helsinki Kaisaniemi,2004,4,17,00:00,339.0
Helsinki Kaisaniemi,2004,4,18,00:00,289.3
Helsinki Kaisaniemi,2004,4,19,00:00,307.3
Helsinki Kaisaniemi,2004,4,20,00:00,11.6
Helsinki Kaisaniemi,2004,4,21,00:00,130.0
Helsinki Kaisaniemi,2004,4,22,00:00,225.7
Helsinki Kaisaniemi,2004,4,23,00:00,400.8
Helsinki Kaisaniemi,2004,4,24,00:00,329.9
Helsinki Kaisaniemi,2004,4,25,00:00,400.4
Helsinki Kaisaniemi,2004,4,26,00:00,396.3
Helsinki Kaisaniemi,2004,4,27,00:00,364.6
Helsinki Kaisaniemi,2004,4,28,00:00,78.8
Helsinki Kaisaniemi,2004,4,29,00:00,46.6
Helsinki Kaisaniemi,2004,4,30,00:00,388.2
