Date,Venue,Average temperature [°C],Snow depth [cm],Cloud cover [1/8],Direct solar radiation mean [W/m2]
2004-03-08,Levi,-8.0,58.0,0.0,8.5
2004-03-09,Levi,-4.7,58.0,1.0,285.8
2004-03-10,Levi,-0.4,58.0,0.0,296.6
2004-03-11,Levi,-0.2,57.0,0.0,231.2
2004-03-12,Levi,-6.8,57.0,8.0,290.9
2004-03-13,Levi,-5.4,56.0,2.0,266.5
2004-03-14,Levi,-6.1,56.0,6.0,12.5
2004-03-15,Levi,-0.4,56.0,7.0,5.7
2004-03-16,Levi,-1.1,66.0,7.0,6.1
2004-03-17,Levi,-5.5,65.0,8.0,221.3
2004-03-18,Levi,-1.4,64.0,8.0,41.8
2004-03-19,Levi,-0.3,63.0,8.0,274.6
2004-03-20,Levi,0.2,63.0,8.0,5.2
2004-03-21,Levi,-2.1,62.0,8.0,6.8
2004-03-22,Levi,-8.0,61.0,8.0,8.7
2004-03-23,Levi,-6.7,62.0,7.0,16.4
2004-03-24,Levi,-7.5,62.0,8.0,15.1
2004-03-25,Levi,-8.7,62.0,8.0,7.0
2004-03-26,Levi,-8.5,61.0,8.0,21.1
2004-03-27,Levi,-5.9,64.0,8.0,70.4
2004-03-28,Levi,-3.5,66.0,7.0,290.6
2004-03-29,Levi,-7.9,65.0,8.0,217.7
2004-03-30,Levi,-4.6,63.0,7.0,278.1
2004-03-31,Levi,-6.3,65.0,0.0,356.1
2004-04-01,Levi,-7.7,64.0,0.0,391.3
2004-04-02,Levi,-5.2,63.0,0.0,371.5
2004-04-03,Levi,-4.7,62.0,0.0,380.0
2004-04-04,Levi,-5.2,62.0,4.0,368.5
2004-04-05,Levi,-1.8,62.0,0.0,249.4
2004-04-06,Levi,-0.9,61.0,0.0,95.9
2004-04-07,Levi,-0.1,61.0,0.0,254.9
2004-04-08,Levi,2.0,60.0,0.0,383.8
2004-04-09,Levi,0.6,58.0,5.0,360.9
2004-04-10,Levi,-1.6,59.0,3.0,102.5
2004-04-11,Levi,-3.3,59.0,0.0,221.0
2004-04-12,Levi,0.3,58.0,0.0,309.5
2004-04-13,Levi,-1.7,58.0,0.0,384.9
2004-04-14,Levi,-0.1,59.0,7.0,28.3
2004-04-15,Levi,1.5,59.0,5.0,294.0
2004-04-16,Levi,2.6,58.0,7.0,39.8
2004-04-17,Levi,3.1,52.0,4.0,339.0
2004-04-18,Levi,4.0,48.0,1.0,289.3
2004-04-19,Levi,3.4,45.0,6.0,307.3
2004-04-20,Levi,-1.4,42.0,8.0,11.6
2004-04-21,Levi,-2.5,42.0,7.0,130.0
2004-04-22,Levi,-3.2,41.0,0.0,225.7
2004-04-23,Levi,-1.8,40.0,7.0,400.8
2004-04-24,Levi,-1.8,40.0,0.0,329.9
2004-04-25,Levi,0.0,40.0,8.0,400.4
2004-04-26,Levi,4.8,39.0,7.0,396.3
2004-04-27,Levi,4.8,36.0,1.0,364.6
2004-04-28,Levi,6.3,34.0,0.0,78.8
2004-04-29,Levi,6.5,32.0,8.0,46.6
2004-05-06,Levi,12.7,-1.0,0.0,356.2
2004-05-07,Levi,14.3,-1.0,0.0,336.5
2004-05-08,Levi,15.6,-1.0,0.0,235.9
2004-05-09,Levi,4.2,-1.0,8.0,396.3
2004-05-10,Levi,0.9,-1.0,8.0,149.7
2004-05-11,Levi,-0.6,-1.0,1.0,226.3
2004-05-12,Levi,0.3,-1.0,5.0,318.6
2004-05-13,Levi,1.2,-1.0,7.0,230.1
2004-05-14,Levi,1.5,-1.0,7.0,141.8
2004-05-15,Levi,1.9,-1.0,7.0,268.4
2004-05-16,Levi,2.7,-1.0,1.0,232.3
2004-05-17,Levi,3.3,-1.0,3.0,378.8
2004-05-18,Levi,5.4,-1.0,7.0,60.4
2004-05-19,Levi,8.0,-1.0,5.0,69.6
2004-05-20,Levi,7.5,-1.0,7.0,321.4
2004-05-21,Levi,4.4,-1.0,8.0,173.5
