Date,Venue,Average temperature [°C],Snow depth [cm],Cloud cover [1/8],Direct solar radiation mean [W/m2]
2004-03-08,Sveitsi,-0.9,41.0,8.0,8.5
2004-03-09,Sveitsi,-2.8,39.0,0.0,285.8
2004-03-10,Sveitsi,-6.4,38.0,1.0,296.6
2004-03-11,Sveitsi,-4.8,37.0,1.0,231.2
2004-03-12,Sveitsi,-3.6,37.0,0.0,290.9
2004-03-13,Sveitsi,-3.6,37.0,0.0,266.5
2004-03-14,Sveitsi,-2.9,37.0,1.0,12.5
2004-03-15,Sveitsi,0.4,37.0,8.0,5.7
2004-03-16,Sveitsi,2.1,35.0,8.0,6.1
2004-03-17,Sveitsi,2.0,32.0,0.0,221.3
2004-03-18,Sveitsi,2.0,30.0,8.0,41.8
2004-03-19,Sveitsi,1.9,27.0,1.0,274.6
2004-03-20,Sveitsi,1.4,25.0,3.0,5.2
2004-03-21,Sveitsi,0.9,25.0,5.0,6.8
2004-03-22,Sveitsi,0.7,28.0,8.0,8.7
2004-03-23,Sveitsi,0.2,25.0,7.0,16.4
2004-03-24,Sveitsi,0.4,25.0,0.0,15.1
2004-03-25,Sveitsi,0.3,25.0,8.0,7.0
2004-03-26,Sveitsi,-1.5,26.0,8.0,21.1
2004-03-27,Sveitsi,-1.8,25.0,8.0,70.4
2004-03-28,Sveitsi,2.2,25.0,8.0,290.6
2004-03-29,Sveitsi,1.6,25.0,2.0,217.7
2004-03-30,Sveitsi,3.3,24.0,6.0,278.1
2004-03-31,Sveitsi,2.3,19.0,0.0,356.1
2004-04-01,Sveitsi,-3.5,19.0,0.0,391.3
2004-04-02,Sveitsi,-3.4,17.0,0.0,371.5
2004-04-03,Sveitsi,-0.2,16.0,0.0,380.0
2004-04-04,Sveitsi,0.5,16.0,0.0,368.5
2004-04-05,Sveitsi,2.1,13.0,2.0,249.4
2004-04-06,Sveitsi,2.6,10.0,6.0,95.9
2004-04-07,Sveitsi,4.8,8.0,3.0,254.9
2004-04-08,Sveitsi,4.8,6.0,0.0,383.8
2004-04-09,Sveitsi,3.5,2.0,0.0,360.9
2004-04-10,Sveitsi,2.3,1.0,8.0,102.5
2004-04-11,Sveitsi,2.0,1.0,0.0,221.0
2004-04-12,Sveitsi,2.5,0.0,3.0,309.5
2004-04-13,Sveitsi,2.1,0.0,0.0,384.9
2004-04-15,Sveitsi,7.2,0.0,4.0,294.0
