Date,Venue,Average temperature [°C],Snow depth [cm],Cloud cover [1/8],Direct solar radiation mean [W/m2]
2004-03-08,Tahko,-3.2,65.0,0.0,8.5
2004-03-09,Tahko,-8.1,64.0,0.0,285.8
2004-03-10,Tahko,-5.0,64.0,0.0,296.6
2004-03-11,Tahko,-3.7,63.0,8.0,231.2
2004-03-12,Tahko,-5.7,62.0,7.0,290.9
2004-03-13,Tahko,-7.2,62.0,0.0,266.5
2004-03-14,Tahko,-3.3,62.0,2.0,12.5
2004-03-15,Tahko,0.5,61.0,8.0,5.7
2004-03-16,Tahko,1.5,60.0,8.0,6.1
2004-03-17,Tahko,1.4,57.0,7.0,221.3
2004-03-18,Tahko,0.6,55.0,7.0,41.8
2004-03-19,Tahko,0.8,52.0,8.0,274.6
2004-03-20,Tahko,1.2,50.0,7.0,5.2
2004-03-21,Tahko,0.3,47.0,7.0,6.8
2004-03-22,Tahko,-1.0,46.0,7.0,8.7
2004-03-23,Tahko,-1.0,48.0,7.0,16.4
2004-03-24,Tahko,-1.3,49.0,7.0,15.1
2004-03-25,Tahko,-1.3,48.0,8.0,7.0
2004-03-26,Tahko,-2.7,47.0,7.0,21.1
2004-03-27,Tahko,-2.4,47.0,7.0,70.4
2004-03-28,Tahko,0.4,48.0,5.0,290.6
2004-03-29,Tahko,0.6,46.0,0.0,217.7
2004-03-30,Tahko,1.4,46.0,1.0,278.1
2004-03-31,Tahko,-1.8,44.0,1.0,356.1
2004-04-01,Tahko,-5.7,43.0,0.0,391.3
2004-04-02,Tahko,-4.3,43.0,0.0,371.5
2004-04-03,Tahko,0.5,43.0,0.0,380.0
2004-04-04,Tahko,0.6,43.0,0.0,368.5
2004-04-05,Tahko,0.6,42.0,0.0,249.4
2004-04-06,Tahko,1.8,41.0,0.0,95.9
2004-04-07,Tahko,2.0,40.0,0.0,254.9
2004-04-08,Tahko,2.8,39.0,0.0,383.8
2004-04-09,Tahko,3.4,39.0,0.0,360.9
2004-04-10,Tahko,1.7,37.0,5.0,102.5
2004-04-11,Tahko,1.5,34.0,1.0,221.0
2004-04-12,Tahko,1.8,33.0,1.0,309.5
2004-04-13,Tahko,2.2,33.0,0.0,384.9
2004-04-14,Tahko,1.6,32.0,3.0,28.3
2004-04-15,Tahko,2.7,31.0,7.0,294.0
2004-04-16,Tahko,4.1,29.0,0.0,39.8
2004-04-17,Tahko,7.6,26.0,0.0,339.0
2004-04-18,Tahko,7.3,23.0,0.0,289.3
2004-04-19,Tahko,7.9,20.0,0.0,307.3
2004-04-20,Tahko,6.5,13.0,0.0,11.6
2004-04-21,Tahko,2.9,7.0,1.0,130.0
2004-04-22,Tahko,0.8,0.0,0.0,225.7
2004-04-23,Tahko,0.2,0.0,0.0,400.8
2004-04-24,Tahko,2.0,0.0,0.0,329.9
2004-04-25,Tahko,2.8,0.0,0.0,400.4
2004-04-26,Tahko,4.8,0.0,0.0,396.3
2004-04-27,Tahko,5.5,-1.0,1.0,364.6
2004-04-28,Tahko,4.7,-1.0,0.0,78.8
2004-04-29,Tahko,6.0,-1.0,1.0,46.6
2004-04-30,Tahko,7.0,-1.0,0.0,388.2
2004-05-01,Tahko,8.5,-1.0,3.0,199.9
2004-05-02,Tahko,9.3,-1.0,0.0,357.8
2004-05-03,Tahko,12.8,-1.0,0.0,301.1
2004-05-04,Tahko,14.2,-1.0,1.0,24.5
2004-05-05,Tahko,12.7,-1.0,1.0,282.9
2004-05-06,Tahko,15.4,-1.0,0.0,356.2
2004-05-07,Tahko,14.3,-1.0,0.0,336.5
2004-05-08,Tahko,16.9,-1.0,0.0,235.9
2004-05-09,Tahko,15.5,-1.0,1.0,396.3
2004-05-10,Tahko,2.3,-1.0,7.0,149.7
2004-05-11,Tahko,1.4,-1.0,7.0,226.3
2004-05-12,Tahko,3.0,-1.0,1.0,318.6
2004-05-13,Tahko,3.6,-1.0,1.0,230.1
2004-05-14,Tahko,5.4,-1.0,1.0,141.8
2004-05-15,Tahko,5.3,-1.0,5.0,268.4
2004-05-16,Tahko,5.4,-1.0,1.0,232.3
2004-05-17,Tahko,7.6,-1.0,1.0,378.8
2004-05-18,Tahko,7.2,-1.0,7.0,60.4
2004-05-19,Tahko,8.6,-1.0,3.0,69.6
2004-05-20,Tahko,7.0,-1.0,7.0,321.4
2004-05-21,Tahko,8.1,-1.0,3.0,173.5
2004-05-22,Tahko,6.3,-1.0,7.0,123.9
2004-05-23,Tahko,6.4,-1.0,8.0,364.5
2004-05-24,Tahko,7.9,-1.0,6.0,424.5
2004-05-25,Tahko,8.9,-1.0,1.0,459.1
2004-05-26,Tahko,9.3,-1.0,5.0,435.1
2004-05-27,Tahko,10.9,-1.0,3.0,109.9
2004-05-28,Tahko,10.6,-1.0,3.0,253.1
2004-05-29,Tahko,10.6,-1.0,4.0,165.4
2004-05-30,Tahko,9.9,-1.0,7.0,188.4
2004-05-31,Tahko,8.4,-1.0,7.0,37.7
2004-06-01,Tahko,11.4,-1.0,3.0,321.8
2004-06-02,Tahko,10.6,-1.0,3.0,326.5
2004-06-03,Tahko,11.0,-1.0,1.0,443.2
2004-06-04,Tahko,15.4,-1.0,0.0,328.3
2004-06-05,Tahko,17.2,-1.0,0.0,460.4
2004-06-06,Tahko,11.9,-1.0,7.0,121.7
2004-06-07,Tahko,9.1,-1.0,3.0,129.8
2004-06-08,Tahko,9.9,-1.0,1.0,22.4
2004-06-09,Tahko,10.0,-1.0,3.0,447.4
2004-06-10,Tahko,11.6,-1.0,1.0,311.3
2004-06-11,Tahko,12.6,-1.0,1.0,8.6
2004-06-12,Tahko,13.8,-1.0,7.0,11.4
2004-06-13,Tahko,15.5,-1.0,1.0,265.8
2004-06-14,Tahko,10.9,-1.0,1.0,173.2
2004-06-15,Tahko,10.2,-1.0,5.0,402.0
2004-06-16,Tahko,9.3,-1.0,7.0,28.4
2004-06-17,Tahko,9.9,-1.0,7.0,211.0
2004-06-18,Tahko,10.4,-1.0,7.0,199.9
2004-06-19,Tahko,12.6,-1.0,5.0,324.7
2004-06-20,Tahko,13.3,-1.0,1.0,361.3
2004-06-21,Tahko,14.5,-1.0,0.0,31.1
2004-06-22,Tahko,14.0,-1.0,7.0,190.0
2004-06-23,Tahko,13.6,-1.0,3.0,
2004-06-24,Tahko,14.5,-1.0,0.0,
2004-06-25,Tahko,16.5,-1.0,3.0,379.0
