,Observation station,Year,Month,Day,Time [Local time],Average temperature [°C],Snow depth [cm]
0,Lahti Laune,2004,3,8,02:00,-0.6,45
1,Lahti Laune,2004,3,9,02:00,-5.6,43
2,Lahti Laune,2004,3,10,02:00,-6.9,43
3,Lahti Laune,2004,3,11,02:00,-3.3,43
4,Lahti Laune,2004,3,12,02:00,-2.9,42
5,Lahti Laune,2004,3,13,02:00,-4.2,41
6,Lahti Laune,2004,3,14,02:00,-4.2,41
7,Lahti Laune,2004,3,15,02:00,0.5,42
8,Lahti Laune,2004,3,16,02:00,2.3,40
9,Lahti Laune,2004,3,17,02:00,0.8,36
10,Lahti Laune,2004,3,18,02:00,1.5,35
11,Lahti Laune,2004,3,19,02:00,1.4,31
12,Lahti Laune,2004,3,20,02:00,0.6,29
13,Lahti Laune,2004,3,21,02:00,1.0,30
14,Lahti Laune,2004,3,22,02:00,0.6,30
15,Lahti Laune,2004,3,23,02:00,-0.5,30
16,Lahti Laune,2004,3,24,02:00,0.9,30
17,Lahti Laune,2004,3,25,02:00,0.1,28
18,Lahti Laune,2004,3,26,02:00,-1.6,31
19,Lahti Laune,2004,3,27,02:00,-1.6,30
20,Lahti Laune,2004,3,28,02:00,2.1,28
21,Lahti Laune,2004,3,29,03:00,1.7,27
22,Lahti Laune,2004,3,30,03:00,3.8,26
23,Lahti Laune,2004,3,31,03:00,2.5,23
24,Lahti Laune,2004,4,1,03:00,-3.5,21
25,Lahti Laune,2004,4,2,03:00,-3.7,21
26,Lahti Laune,2004,4,3,03:00,-0.5,21
27,Lahti Laune,2004,4,4,03:00,0.0,19
28,Lahti Laune,2004,4,5,03:00,1.6,17
29,Lahti Laune,2004,4,6,03:00,1.9,14
30,Lahti Laune,2004,4,7,03:00,3.6,14
31,Lahti Laune,2004,4,8,03:00,3.6,13
32,Lahti Laune,2004,4,9,03:00,3.0,13
33,Lahti Laune,2004,4,10,03:00,1.8,7
34,Lahti Laune,2004,4,11,03:00,1.5,6
35,Lahti Laune,2004,4,12,03:00,2.7,5
36,Lahti Laune,2004,4,13,03:00,2.4,0
37,Lahti Laune,2004,4,14,03:00,2.6,0
38,Lahti Laune,2004,4,15,03:00,7.0,-1
39,Lahti Laune,2004,4,16,03:00,4.2,-1
40,Lahti Laune,2004,4,17,03:00,6.4,-1
41,Lahti Laune,2004,4,18,03:00,7.2,-1
