"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sotkamo Kuolaniemi","2004","3","8","00:00","225.3"
"Sotkamo Kuolaniemi","2004","3","9","00:00","213.3"
"Sotkamo Kuolaniemi","2004","3","10","00:00","173"
"Sotkamo Kuolaniemi","2004","3","11","00:00","69.3"
"Sotkamo Kuolaniemi","2004","3","12","00:00","70.6"
"Sotkamo Kuolaniemi","2004","3","13","00:00","158.5"
"Sotkamo Kuolaniemi","2004","3","14","00:00","141.7"
"Sotkamo Kuolaniemi","2004","3","15","00:00","-"
"-","2004","3","16","00:00","-"
"Sotkamo Kuolaniemi","2004","3","17","00:00","4.5"
"Sotkamo Kuolaniemi","2004","3","18","00:00","0.9"
"Sotkamo Kuolaniemi","2004","3","19","00:00","2.9"
"Sotkamo Kuolaniemi","2004","3","20","00:00","25.2"
"Sotkamo Kuolaniemi","2004","3","21","00:00","2.6"
"Sotkamo Kuolaniemi","2004","3","22","00:00","3.3"
"Sotkamo Kuolaniemi","2004","3","23","00:00","2.7"
"Sotkamo Kuolaniemi","2004","3","24","00:00","1.5"
"Sotkamo Kuolaniemi","2004","3","25","00:00","4.1"
"Sotkamo Kuolaniemi","2004","3","26","00:00","114.5"
"Sotkamo Kuolaniemi","2004","3","27","00:00","37.7"
"Sotkamo Kuolaniemi","2004","3","28","00:00","24.4"
"Sotkamo Kuolaniemi","2004","3","29","00:00","211.7"
"Sotkamo Kuolaniemi","2004","3","30","00:00","6.6"
"Sotkamo Kuolaniemi","2004","3","31","00:00","146.6"
"Sotkamo Kuolaniemi","2004","4","1","00:00","298.5"
"Sotkamo Kuolaniemi","2004","4","2","00:00","283.1"
"Sotkamo Kuolaniemi","2004","4","3","00:00","294.4"
"Sotkamo Kuolaniemi","2004","4","4","00:00","297.9"
"Sotkamo Kuolaniemi","2004","4","5","00:00","287.2"
"Sotkamo Kuolaniemi","2004","4","6","00:00","290.8"
"Sotkamo Kuolaniemi","2004","4","7","00:00","293.4"
"Sotkamo Kuolaniemi","2004","4","8","00:00","297.8"
"Sotkamo Kuolaniemi","2004","4","9","00:00","75.4"
"Sotkamo Kuolaniemi","2004","4","10","00:00","15.9"
"Sotkamo Kuolaniemi","2004","4","11","00:00","80.2"
"Sotkamo Kuolaniemi","2004","4","12","00:00","199.2"
"Sotkamo Kuolaniemi","2004","4","13","00:00","240.8"
"Sotkamo Kuolaniemi","2004","4","14","00:00","2.6"
"Sotkamo Kuolaniemi","2004","4","15","00:00","14"
"Sotkamo Kuolaniemi","2004","4","16","00:00","240.9"
"Sotkamo Kuolaniemi","2004","4","17","00:00","181.8"
"Sotkamo Kuolaniemi","2004","4","18","00:00","92.2"
"Sotkamo Kuolaniemi","2004","4","19","00:00","240.2"
"Sotkamo Kuolaniemi","2004","4","20","00:00","191.8"
"Sotkamo Kuolaniemi","2004","4","21","00:00","68"
"Sotkamo Kuolaniemi","2004","4","22","00:00","319"
"Sotkamo Kuolaniemi","2004","4","23","00:00","256.6"
"Sotkamo Kuolaniemi","2004","4","24","00:00","169.8"
"Sotkamo Kuolaniemi","2004","4","25","00:00","322.9"
"Sotkamo Kuolaniemi","2004","4","26","00:00","102.8"
"Sotkamo Kuolaniemi","2004","4","27","00:00","259.9"
"Sotkamo Kuolaniemi","2004","4","28","00:00","345.4"
"Sotkamo Kuolaniemi","2004","4","29","00:00","135.1"
"Sotkamo Kuolaniemi","2004","4","30","00:00","253.7"
"Sotkamo Kuolaniemi","2004","5","1","00:00","146.7"
"Sotkamo Kuolaniemi","2004","5","2","00:00","193.9"
"Sotkamo Kuolaniemi","2004","5","3","00:00","205.9"
"Sotkamo Kuolaniemi","2004","5","4","00:00","134.4"
"Sotkamo Kuolaniemi","2004","5","5","00:00","84"
"Sotkamo Kuolaniemi","2004","5","6","00:00","109.5"
"Sotkamo Kuolaniemi","2004","5","7","00:00","195.6"
"Sotkamo Kuolaniemi","2004","5","8","00:00","173.7"
"Sotkamo Kuolaniemi","2004","5","9","00:00","204.8"
"Sotkamo Kuolaniemi","2004","5","10","00:00","1.3"
"Sotkamo Kuolaniemi","2004","5","11","00:00","111.9"
"Sotkamo Kuolaniemi","2004","5","12","00:00","214.8"
"Sotkamo Kuolaniemi","2004","5","13","00:00","114.2"
"Sotkamo Kuolaniemi","2004","5","14","00:00","225.1"
"Sotkamo Kuolaniemi","2004","5","15","00:00","4.4"
"Sotkamo Kuolaniemi","2004","5","16","00:00","203.9"
"Sotkamo Kuolaniemi","2004","5","17","00:00","296.7"
"Sotkamo Kuolaniemi","2004","5","18","00:00","33.8"
"Sotkamo Kuolaniemi","2004","5","19","00:00","175.2"
"Sotkamo Kuolaniemi","2004","5","20","00:00","2.8"
"Sotkamo Kuolaniemi","2004","5","21","00:00","15.6"
"Sotkamo Kuolaniemi","2004","5","22","00:00","6.3"
"Sotkamo Kuolaniemi","2004","5","23","00:00","0.4"
"Sotkamo Kuolaniemi","2004","5","24","00:00","2.3"
"Sotkamo Kuolaniemi","2004","5","25","00:00","4"
"Sotkamo Kuolaniemi","2004","5","26","00:00","146.1"
"Sotkamo Kuolaniemi","2004","5","27","00:00","52.5"
"Sotkamo Kuolaniemi","2004","5","28","00:00","189.4"
"Sotkamo Kuolaniemi","2004","5","29","00:00","203.9"
"Sotkamo Kuolaniemi","2004","5","30","00:00","1.4"
"Sotkamo Kuolaniemi","2004","5","31","00:00","69.3"
"Sotkamo Kuolaniemi","2004","6","1","00:00","129.9"
"Sotkamo Kuolaniemi","2004","6","2","00:00","113.2"
"Sotkamo Kuolaniemi","2004","6","3","00:00","210"
"Sotkamo Kuolaniemi","2004","6","4","00:00","292.2"
"Sotkamo Kuolaniemi","2004","6","5","00:00","132.3"
"Sotkamo Kuolaniemi","2004","6","6","00:00","68.6"
"Sotkamo Kuolaniemi","2004","6","7","00:00","253"
"Sotkamo Kuolaniemi","2004","6","8","00:00","212.9"
"Sotkamo Kuolaniemi","2004","6","9","00:00","114.4"
"Sotkamo Kuolaniemi","2004","6","10","00:00","292.6"
"Sotkamo Kuolaniemi","2004","6","11","00:00","105.2"
"Sotkamo Kuolaniemi","2004","6","12","00:00","44.6"
"Sotkamo Kuolaniemi","2004","6","13","00:00","177.7"
"Sotkamo Kuolaniemi","2004","6","14","00:00","19.5"
"Sotkamo Kuolaniemi","2004","6","15","00:00","144"
"Sotkamo Kuolaniemi","2004","6","16","00:00","6.2"
"Sotkamo Kuolaniemi","2004","6","17","00:00","25"
"Sotkamo Kuolaniemi","2004","6","18","00:00","27.3"
"Sotkamo Kuolaniemi","2004","6","19","00:00","86"
"Sotkamo Kuolaniemi","2004","6","20","00:00","120.4"
"Sotkamo Kuolaniemi","2004","6","21","00:00","279"
"Sotkamo Kuolaniemi","2004","6","22","00:00","26"
"Sotkamo Kuolaniemi","2004","6","23","00:00","213.6"
"Sotkamo Kuolaniemi","2004","6","24","00:00","292.4"
"Sotkamo Kuolaniemi","2004","6","25","00:00","92.8"
"Sotkamo Kuolaniemi","2004","6","26","00:00","70.2"
"Sotkamo Kuolaniemi","2004","6","27","00:00","223.9"
"Sotkamo Kuolaniemi","2004","6","28","00:00","109.8"
"Sotkamo Kuolaniemi","2004","6","29","00:00","2.7"
