"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sotkamo Kuolaniemi","2004","7","9","00:00","161.1"
"Sotkamo Kuolaniemi","2004","7","10","00:00","168.8"
"Sotkamo Kuolaniemi","2004","7","11","00:00","152.9"
"Sotkamo Kuolaniemi","2004","7","12","00:00","18.5"
"Sotkamo Kuolaniemi","2004","7","13","00:00","198.8"
"Sotkamo Kuolaniemi","2004","7","14","00:00","64.3"
"Sotkamo Kuolaniemi","2004","7","15","00:00","70.9"
"Sotkamo Kuolaniemi","2004","7","16","00:00","4.3"
"Sotkamo Kuolaniemi","2004","7","17","00:00","322.9"
"Sotkamo Kuolaniemi","2004","7","18","00:00","382.2"
"Sotkamo Kuolaniemi","2004","7","19","00:00","245.7"
"Sotkamo Kuolaniemi","2004","7","20","00:00","110.9"
"Sotkamo Kuolaniemi","2004","7","21","00:00","363.9"
"Sotkamo Kuolaniemi","2004","7","22","00:00","312.9"
"Sotkamo Kuolaniemi","2004","7","23","00:00","334.1"
"Sotkamo Kuolaniemi","2004","7","24","00:00","312.5"
"Sotkamo Kuolaniemi","2004","7","25","00:00","225.5"
"Sotkamo Kuolaniemi","2004","7","26","00:00","132.2"
"Sotkamo Kuolaniemi","2004","7","27","00:00","59.7"
"Sotkamo Kuolaniemi","2004","7","28","00:00","3.6"
"Sotkamo Kuolaniemi","2004","7","29","00:00","1.5"
"Sotkamo Kuolaniemi","2004","7","30","00:00","72.4"
"Sotkamo Kuolaniemi","2004","7","31","00:00","191.2"
"Sotkamo Kuolaniemi","2004","8","1","00:00","206.8"
"Sotkamo Kuolaniemi","2004","8","2","00:00","27.4"
"Sotkamo Kuolaniemi","2004","8","3","00:00","65"
"Sotkamo Kuolaniemi","2004","8","4","00:00","6"
"Sotkamo Kuolaniemi","2004","8","5","00:00","36.7"
"Sotkamo Kuolaniemi","2004","8","6","00:00","148.6"
"Sotkamo Kuolaniemi","2004","8","7","00:00","207.8"
"Sotkamo Kuolaniemi","2004","8","8","00:00","79.4"
"Sotkamo Kuolaniemi","2004","8","9","00:00","71.4"
"Sotkamo Kuolaniemi","2004","8","10","00:00","45.4"
"Sotkamo Kuolaniemi","2004","8","11","00:00","48.6"
"Sotkamo Kuolaniemi","2004","8","12","00:00","118.7"
"Sotkamo Kuolaniemi","2004","8","13","00:00","96.3"
"Sotkamo Kuolaniemi","2004","8","14","00:00","176.1"
"Sotkamo Kuolaniemi","2004","8","15","00:00","111.4"
"Sotkamo Kuolaniemi","2004","8","16","00:00","64"
"Sotkamo Kuolaniemi","2004","8","17","00:00","184.7"
"Sotkamo Kuolaniemi","2004","8","18","00:00","50.9"
"Sotkamo Kuolaniemi","2004","8","19","00:00","259.7"
"Sotkamo Kuolaniemi","2004","8","20","00:00","1.3"
"Sotkamo Kuolaniemi","2004","8","21","00:00","14.9"
"Sotkamo Kuolaniemi","2004","8","22","00:00","154.5"
"Sotkamo Kuolaniemi","2004","8","23","00:00","158.6"
"Sotkamo Kuolaniemi","2004","8","24","00:00","6.7"
"Sotkamo Kuolaniemi","2004","8","25","00:00","335.5"
"Sotkamo Kuolaniemi","2004","8","26","00:00","232.4"
"Sotkamo Kuolaniemi","2004","8","27","00:00","95.8"
"Sotkamo Kuolaniemi","2004","8","28","00:00","11.5"
"Sotkamo Kuolaniemi","2004","8","29","00:00","87.5"
"Sotkamo Kuolaniemi","2004","8","30","00:00","155.8"
"Sotkamo Kuolaniemi","2004","8","31","00:00","36"
"Sotkamo Kuolaniemi","2004","9","1","00:00","166.8"
"Sotkamo Kuolaniemi","2004","9","2","00:00","38.5"
"Sotkamo Kuolaniemi","2004","9","3","00:00","2.3"
"Sotkamo Kuolaniemi","2004","9","4","00:00","134.3"
"Sotkamo Kuolaniemi","2004","9","5","00:00","44.4"
"Sotkamo Kuolaniemi","2004","9","6","00:00","210.6"
"Sotkamo Kuolaniemi","2004","9","7","00:00","217.4"
"Sotkamo Kuolaniemi","2004","9","8","00:00","160.6"
"Sotkamo Kuolaniemi","2004","9","9","00:00","113"
"Sotkamo Kuolaniemi","2004","9","10","00:00","53.6"
"Sotkamo Kuolaniemi","2004","9","11","00:00","212.3"
"Sotkamo Kuolaniemi","2004","9","12","00:00","53.4"
"Sotkamo Kuolaniemi","2004","9","13","00:00","63.8"
"Sotkamo Kuolaniemi","2004","9","14","00:00","8.6"
"Sotkamo Kuolaniemi","2004","9","15","00:00","56.9"
"Sotkamo Kuolaniemi","2004","9","16","00:00","34.5"
"Sotkamo Kuolaniemi","2004","9","17","00:00","135"
"Sotkamo Kuolaniemi","2004","9","18","00:00","0.8"
"Sotkamo Kuolaniemi","2004","9","19","00:00","0.1"
"Sotkamo Kuolaniemi","2004","9","20","00:00","11.9"
"Sotkamo Kuolaniemi","2004","9","21","00:00","7.8"
"Sotkamo Kuolaniemi","2004","9","22","00:00","1.7"
"Sotkamo Kuolaniemi","2004","9","23","00:00","23.8"
"Sotkamo Kuolaniemi","2004","9","24","00:00","14.4"
"Sotkamo Kuolaniemi","2004","9","25","00:00","3.1"
"Sotkamo Kuolaniemi","2004","9","26","00:00","2.5"
"Sotkamo Kuolaniemi","2004","9","27","00:00","3"
"Sotkamo Kuolaniemi","2004","9","28","00:00","6.1"
"Sotkamo Kuolaniemi","2004","9","29","00:00","1"
"Sotkamo Kuolaniemi","2004","9","30","00:00","110.9"
"Sotkamo Kuolaniemi","2004","10","1","00:00","81.8"
"Sotkamo Kuolaniemi","2004","10","2","00:00","23.8"
"Sotkamo Kuolaniemi","2004","10","3","00:00","1.3"
"Sotkamo Kuolaniemi","2004","10","4","00:00","22.3"
"Sotkamo Kuolaniemi","2004","10","5","00:00","2.7"
"Sotkamo Kuolaniemi","2004","10","6","00:00","46.4"
"Sotkamo Kuolaniemi","2004","10","7","00:00","3.7"
"Sotkamo Kuolaniemi","2004","10","8","00:00","0.2"
"Sotkamo Kuolaniemi","2004","10","9","00:00","121.6"
"Sotkamo Kuolaniemi","2004","10","10","00:00","141"
"Sotkamo Kuolaniemi","2004","10","11","00:00","198"
"Sotkamo Kuolaniemi","2004","10","12","00:00","61.1"
"Sotkamo Kuolaniemi","2004","10","13","00:00","0.5"
"Sotkamo Kuolaniemi","2004","10","14","00:00","64.3"
"Sotkamo Kuolaniemi","2004","10","15","00:00","43.3"
"Sotkamo Kuolaniemi","2004","10","16","00:00","0.5"
"Sotkamo Kuolaniemi","2004","10","17","00:00","77.7"
"Sotkamo Kuolaniemi","2004","10","18","00:00","0.1"
"Sotkamo Kuolaniemi","2004","10","19","00:00","0.1"
"Sotkamo Kuolaniemi","2004","10","20","00:00","0.5"
"Sotkamo Kuolaniemi","2004","10","21","00:00","0.4"
"Sotkamo Kuolaniemi","2004","10","22","00:00","0"
"Sotkamo Kuolaniemi","2004","10","23","00:00","5.8"
"Sotkamo Kuolaniemi","2004","10","24","00:00","0.5"
"Sotkamo Kuolaniemi","2004","10","25","00:00","1.8"
"Sotkamo Kuolaniemi","2004","10","26","00:00","0"
"Sotkamo Kuolaniemi","2004","10","27","00:00","0.2"
"Sotkamo Kuolaniemi","2004","10","28","00:00","7"
"Sotkamo Kuolaniemi","2004","10","29","00:00","138.1"
"Sotkamo Kuolaniemi","2004","10","30","00:00","143.7"
"Sotkamo Kuolaniemi","2004","10","31","00:00","33.7"
"Sotkamo Kuolaniemi","2004","11","1","00:00","57.5"
"Sotkamo Kuolaniemi","2004","11","2","00:00","118.8"
"Sotkamo Kuolaniemi","2004","11","3","00:00","38.7"
"Sotkamo Kuolaniemi","2004","11","4","00:00","0"
"Sotkamo Kuolaniemi","2004","11","5","00:00","0"
"Sotkamo Kuolaniemi","2004","11","6","00:00","0"
"Sotkamo Kuolaniemi","2004","11","7","00:00","0"
"Sotkamo Kuolaniemi","2004","11","8","00:00","0"
