,Observation station,Year,Month,Day,Time [Local time],Direct solar radiation mean [W/m2]
0,Helsinki Kaisaniemi,2004,3,8,00:00,8.5
1,Helsinki Kaisaniemi,2004,3,9,00:00,285.8
2,Helsinki Kaisaniemi,2004,3,10,00:00,296.6
3,Helsinki Kaisaniemi,2004,3,11,00:00,231.2
4,Helsinki Kaisaniemi,2004,3,12,00:00,290.9
5,Helsinki Kaisaniemi,2004,3,13,00:00,266.5
6,Helsinki Kaisaniemi,2004,3,14,00:00,12.5
7,Helsinki Kaisaniemi,2004,3,15,00:00,5.7
8,Helsinki Kaisaniemi,2004,3,16,00:00,6.1
9,Helsinki Kaisaniemi,2004,3,17,00:00,221.3
10,Helsinki Kaisaniemi,2004,3,18,00:00,41.8
11,Helsinki Kaisaniemi,2004,3,19,00:00,274.6
12,Helsinki Kaisaniemi,2004,3,20,00:00,5.2
13,Helsinki Kaisaniemi,2004,3,21,00:00,6.8
14,Helsinki Kaisaniemi,2004,3,22,00:00,8.7
15,Helsinki Kaisaniemi,2004,3,23,00:00,16.4
16,Helsinki Kaisaniemi,2004,3,24,00:00,15.1
17,Helsinki Kaisaniemi,2004,3,25,00:00,7.0
18,Helsinki Kaisaniemi,2004,3,26,00:00,21.1
19,Helsinki Kaisaniemi,2004,3,27,00:00,70.4
20,Helsinki Kaisaniemi,2004,3,28,00:00,290.6
21,Helsinki Kaisaniemi,2004,3,29,00:00,217.7
22,Helsinki Kaisaniemi,2004,3,30,00:00,278.1
23,Helsinki Kaisaniemi,2004,3,31,00:00,356.1
24,Helsinki Kaisaniemi,2004,4,1,00:00,391.3
25,Helsinki Kaisaniemi,2004,4,2,00:00,371.5
26,Helsinki Kaisaniemi,2004,4,3,00:00,380.0
27,Helsinki Kaisaniemi,2004,4,4,00:00,368.5
28,Helsinki Kaisaniemi,2004,4,5,00:00,249.4
29,Helsinki Kaisaniemi,2004,4,6,00:00,95.9
30,Helsinki Kaisaniemi,2004,4,7,00:00,254.9
31,Helsinki Kaisaniemi,2004,4,8,00:00,383.8
32,Helsinki Kaisaniemi,2004,4,9,00:00,360.9
33,Helsinki Kaisaniemi,2004,4,10,00:00,102.5
34,Helsinki Kaisaniemi,2004,4,11,00:00,221.0
35,Helsinki Kaisaniemi,2004,4,12,00:00,309.5
36,Helsinki Kaisaniemi,2004,4,13,00:00,384.9
37,Helsinki Kaisaniemi,2004,4,14,00:00,28.3
38,Helsinki Kaisaniemi,2004,4,15,00:00,294.0
39,Helsinki Kaisaniemi,2004,4,16,00:00,39.8
40,Helsinki Kaisaniemi,2004,4,17,00:00,339.0
41,Helsinki Kaisaniemi,2004,4,18,00:00,289.3
42,Helsinki Kaisaniemi,2004,4,19,00:00,307.3
43,Helsinki Kaisaniemi,2004,4,20,00:00,11.6
44,Helsinki Kaisaniemi,2004,4,21,00:00,130.0
45,Helsinki Kaisaniemi,2004,4,22,00:00,225.7
46,Helsinki Kaisaniemi,2004,4,23,00:00,400.8
47,Helsinki Kaisaniemi,2004,4,24,00:00,329.9
48,Helsinki Kaisaniemi,2004,4,25,00:00,400.4
49,Helsinki Kaisaniemi,2004,4,26,00:00,396.3
50,Helsinki Kaisaniemi,2004,4,27,00:00,364.6
51,Helsinki Kaisaniemi,2004,4,28,00:00,78.8
52,Helsinki Kaisaniemi,2004,4,29,00:00,46.6
53,Helsinki Kaisaniemi,2004,4,30,00:00,388.2
54,Helsinki Kaisaniemi,2004,5,1,00:00,199.9
55,Helsinki Kaisaniemi,2004,5,2,00:00,357.8
56,Helsinki Kaisaniemi,2004,5,3,00:00,301.1
57,Helsinki Kaisaniemi,2004,5,4,00:00,24.5
58,Helsinki Kaisaniemi,2004,5,5,00:00,282.9
59,Helsinki Kaisaniemi,2004,5,6,00:00,356.2
60,Helsinki Kaisaniemi,2004,5,7,00:00,336.5
61,Helsinki Kaisaniemi,2004,5,8,00:00,235.9
62,Helsinki Kaisaniemi,2004,5,9,00:00,396.3
63,Helsinki Kaisaniemi,2004,5,10,00:00,149.7
64,Helsinki Kaisaniemi,2004,5,11,00:00,226.3
65,Helsinki Kaisaniemi,2004,5,12,00:00,318.6
66,Helsinki Kaisaniemi,2004,5,13,00:00,230.1
67,Helsinki Kaisaniemi,2004,5,14,00:00,141.8
68,Helsinki Kaisaniemi,2004,5,15,00:00,268.4
69,Helsinki Kaisaniemi,2004,5,16,00:00,232.3
70,Helsinki Kaisaniemi,2004,5,17,00:00,378.8
71,Helsinki Kaisaniemi,2004,5,18,00:00,60.4
72,Helsinki Kaisaniemi,2004,5,19,00:00,69.6
73,Helsinki Kaisaniemi,2004,5,20,00:00,321.4
74,Helsinki Kaisaniemi,2004,5,21,00:00,173.5
75,Helsinki Kaisaniemi,2004,5,22,00:00,123.9
76,Helsinki Kaisaniemi,2004,5,23,00:00,364.5
77,Helsinki Kaisaniemi,2004,5,24,00:00,424.5
78,Helsinki Kaisaniemi,2004,5,25,00:00,459.1
79,Helsinki Kaisaniemi,2004,5,26,00:00,435.1
80,Helsinki Kaisaniemi,2004,5,27,00:00,109.9
81,Helsinki Kaisaniemi,2004,5,28,00:00,253.1
82,Helsinki Kaisaniemi,2004,5,29,00:00,165.4
83,Helsinki Kaisaniemi,2004,5,30,00:00,188.4
84,Helsinki Kaisaniemi,2004,5,31,00:00,37.7
85,Helsinki Kaisaniemi,2004,6,1,00:00,321.8
86,Helsinki Kaisaniemi,2004,6,2,00:00,326.5
87,Helsinki Kaisaniemi,2004,6,3,00:00,443.2
88,Helsinki Kaisaniemi,2004,6,4,00:00,328.3
89,Helsinki Kaisaniemi,2004,6,5,00:00,460.4
90,Helsinki Kaisaniemi,2004,6,6,00:00,121.7
91,Helsinki Kaisaniemi,2004,6,7,00:00,129.8
92,Helsinki Kaisaniemi,2004,6,8,00:00,22.4
93,Helsinki Kaisaniemi,2004,6,9,00:00,447.4
94,Helsinki Kaisaniemi,2004,6,10,00:00,311.3
