,Year,Month,Day,Direct solar radiation mean [W/m2]
0,2004,3,8,8.5
1,2004,3,9,285.8
2,2004,3,10,296.6
3,2004,3,11,231.2
4,2004,3,12,290.9
5,2004,3,13,266.5
6,2004,3,14,12.5
7,2004,3,15,5.7
8,2004,3,16,6.1
9,2004,3,17,221.3
10,2004,3,18,41.8
11,2004,3,19,274.6
12,2004,3,20,5.2
13,2004,3,21,6.8
14,2004,3,22,8.7
15,2004,3,23,16.4
16,2004,3,24,15.1
17,2004,3,25,7.0
18,2004,3,26,21.1
19,2004,3,27,70.4
20,2004,3,28,290.6
21,2004,3,29,217.7
22,2004,3,30,278.1
23,2004,3,31,356.1
24,2004,4,1,391.3
25,2004,4,2,371.5
26,2004,4,3,380.0
27,2004,4,4,368.5
28,2004,4,5,249.4
29,2004,4,6,95.9
30,2004,4,7,254.9
31,2004,4,8,383.8
32,2004,4,9,360.9
33,2004,4,10,102.5
34,2004,4,11,221.0
35,2004,4,12,309.5
36,2004,4,13,384.9
37,2004,4,14,28.3
38,2004,4,15,294.0
39,2004,4,16,39.8
40,2004,4,17,339.0
41,2004,4,18,289.3
42,2004,4,19,307.3
43,2004,4,20,11.6
44,2004,4,21,130.0
45,2004,4,22,225.7
46,2004,4,23,400.8
47,2004,4,24,329.9
48,2004,4,25,400.4
49,2004,4,26,396.3
50,2004,4,27,364.6
51,2004,4,28,78.8
52,2004,4,29,46.6
53,2004,4,30,388.2
54,2004,5,1,199.9
55,2004,5,2,357.8
56,2004,5,3,301.1
57,2004,5,4,24.5
58,2004,5,5,282.9
59,2004,5,6,356.2
60,2004,5,7,336.5
61,2004,5,8,235.9
62,2004,5,9,396.3
63,2004,5,10,149.7
64,2004,5,11,226.3
65,2004,5,12,318.6
66,2004,5,13,230.1
67,2004,5,14,141.8
68,2004,5,15,268.4
69,2004,5,16,232.3
70,2004,5,17,378.8
71,2004,5,18,60.4
72,2004,5,19,69.6
73,2004,5,20,321.4
74,2004,5,21,173.5
75,2004,5,22,123.9
76,2004,5,23,364.5
77,2004,5,24,424.5
78,2004,5,25,459.1
79,2004,5,26,435.1
80,2004,5,27,109.9
81,2004,5,28,253.1
82,2004,5,29,165.4
83,2004,5,30,188.4
84,2004,5,31,37.7
85,2004,6,1,321.8
86,2004,6,2,326.5
87,2004,6,3,443.2
88,2004,6,4,328.3
89,2004,6,5,460.4
90,2004,6,6,121.7
91,2004,6,7,129.8
92,2004,6,8,22.4
93,2004,6,9,447.4
94,2004,6,10,311.3
95,2004,6,11,8.6
96,2004,6,12,11.4
97,2004,6,13,265.8
98,2004,6,14,173.2
99,2004,6,15,402
100,2004,6,16,28.4
101,2004,6,17,211
102,2004,6,18,199.9
103,2004,6,19,324.7
104,2004,6,20,361.3
105,2004,6,21,31.1
106,2004,6,22,190
107,2004,6,23,-
108,2004,6,24,-
109,2004,6,25,379
110,2004,6,26,233.4
111,2004,6,27,10.1
112,2004,6,28,10.9
113,2004,6,29,112.7
114,2004,6,30,7.5
115,2004,7,1,44
116,2004,7,2,335.1
117,2004,7,3,6.7
118,2004,7,4,294.1
119,2004,7,5,251
120,2004,7,6,302.9
121,2004,7,7,92.2
122,2004,7,8,495
123,2004,7,9,178.9
124,2004,7,10,108.2
125,2004,7,11,133.2
126,2004,7,12,216.7
127,2004,7,13,160.6
128,2004,7,14,220.7
129,2004,7,15,307.2
130,2004,7,16,385
131,2004,7,17,182.8
132,2004,7,18,397.4
133,2004,7,19,224.3
134,2004,7,20,292.4
135,2004,7,21,163.1
136,2004,7,22,69.8
137,2004,7,23,162.8
138,2004,7,24,209.4
139,2004,7,25,132.6
140,2004,7,26,149.2
141,2004,7,27,112.3
142,2004,7,28,13.5
143,2004,7,29,10.6
144,2004,7,30,29.6
145,2004,7,31,31.9
146,2004,8,1,214.1
147,2004,8,2,176.7
148,2004,8,3,190.4
149,2004,8,4,331.3
150,2004,8,5,348.8
